WBgeneID,wormbase_gseq,wikigene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
WBGene00000592,F08H9.1,coh-3,389.12098445388466,-1.423573654590193,0.5690470936619472,0.002535701244516952,0.05360139842706307
WBGene00000865,ZC168.4,cyb-1,1091.3959417916847,-0.6403887974803704,0.38674211874003733,0.005872110929446533,0.08841623770395715
WBGene00000885,T27D1.1,cyn-9,287.88197857694547,-0.8619523931744388,0.6806299861072517,0.006114258098903642,0.09058756078112501
WBGene00001040,T23B12.7,dnj-22,621.0289668127382,-0.8719714099134406,0.4179307587030506,3.9871267975766515e-4,0.016184735078940457
WBGene00001402,F21H12.5,fbf-2,572.562133340892,-1.2815337874507333,0.377862306308228,1.3853567407235301e-5,0.0012813560311163567
WBGene00001499,C26E6.5,fsn-1,351.201016519284,-0.840826402636163,0.33547131740066777,0.005893745062157214,0.08843349340657447
WBGene00001597,T07F8.3,gld-3,687.1373989829152,-1.3257721664827995,0.5061262219829441,0.007003690101437255,0.09659277323242532
WBGene00001678,Y95B8A.5,gpa-16,541.7184466702988,-1.536079007633476,0.41385266028199647,0.0011949348128322142,0.033431145136840285
WBGene00001764,F37B1.5,gst-16,194.2774470628645,-1.5915092855503699,0.5497830289415527,1.158107594700314e-6,1.785278005211234e-4
WBGene00001768,Y48E1B.10,gst-20,1964.7205774893564,-0.6724418942131485,0.6686591195402479,0.003329570790254309,0.06363711090835501
WBGene00002214,M7.2,klc-1,582.0179915681284,-0.5871440324962565,0.8041425795196171,8.702802971188912e-4,0.02735257176551583
WBGene00004043,Y71F9B.7,plk-2,851.0028208038722,-1.3284932760783055,0.5338193055718874,0.004724733925133598,0.0780364535670344
WBGene00004179,C01G5.2,,2212.1855388830263,-0.9611658544669496,0.516272035326606,0.005979906637735235,0.0892881601051901
WBGene00004422,T22F3.4,rpl-11.1,14240.764020272843,-0.9528905696981266,0.6255594834679455,0.002800847838346411,0.0571152419822798
WBGene00004726,F10E9.8,sas-4,530.3120166688914,-0.5860774202659841,0.22757605032599118,1.7266099202866244e-4,0.00876779288540843
WBGene00004737,F10G7.4,scc-1,534.4136884333781,-0.6981197872599819,0.3494859402324117,0.0017904470122908822,0.043416663599540516
WBGene00004808,F46A9.4,skr-2,970.8428467706128,-0.9180188259469887,0.8438135559558778,0.006059033956468335,0.09018210425552699
WBGene00004874,F35G12.8,smc-4,2969.2226482887377,-0.5788714987620205,0.21179069326689476,0.006758460122935847,0.09461113527772572
WBGene00005011,F26F4.8,F26F4.8,183.2942260377267,-1.118959911460923,0.7134239572375655,0.0015046054150979985,0.039359869737583805
WBGene00006311,F57B1.2,sun-1,489.58362156498487,-1.5818042549354394,0.6256173307627417,0.005696733712103565,0.08637822580565464
WBGene00006376,C24G6.1,syp-2,274.7104236631533,-1.3476570876510539,0.6335689405472147,0.005660123685964274,0.08592372990568743
WBGene00006463,T26A5.3,nduf-2.2,1125.4224378438907,-0.8769994692723058,0.3712636318952724,6.896220265367995e-4,0.023217968836484228
WBGene00007087,B0001.2,B0001.2,929.2773244610252,-1.2878905733202883,0.38133367070352076,0.001984231660078798,0.045742992330796206
WBGene00007106,B0035.3,B0035.3,441.9947543786965,-0.6936500525806202,0.20465336463702594,1.227773329060656e-6,1.8486554462798183e-4
WBGene00007645,C17E4.6,C17E4.6,938.949013042898,-0.5056780543343181,0.2765829857093044,0.002805990350393939,0.057130140011401126
WBGene00007762,C27B7.5,C27B7.5,706.6252143213208,-1.1801456931906014,0.6335600784721743,0.004040577892317539,0.07099246014602419
WBGene00007797,C29A12.1,C29A12.1,159.55872247053634,-1.2869047921384011,0.7054676495429782,0.006227805638601749,0.09112300024209496
WBGene00008169,C48B4.6,C48B4.6,228.47371845096922,-0.6886313624211122,0.6643907314570714,0.0012396746190706737,0.03422717834188945
WBGene00008174,C48B4.11,C48B4.11,288.72555932040774,-1.207465040472466,0.6423695371343646,0.004113277722421889,0.07178837786067441
WBGene00008995,F21A3.5,prde-1,342.01239001057985,-1.4759036805037806,0.5614901890192956,0.0031029541386854865,0.06078691852017907
WBGene00009270,F30F8.1,F30F8.1,447.1404724729283,-0.8474971225389507,0.7706663875785669,0.0067444066501278635,0.09461113527772572
WBGene00009434,F35E12.10,F35E12.10,1486.1424544382962,-1.3708647299579113,0.6477081297695236,0.0019912743899075445,0.04579931096787353
WBGene00009477,F36F2.3,rbpl-1,3448.6587638198835,-0.5143561400816627,0.19771355575084196,0.004855162364535351,0.0791807272775419
WBGene00009922,F52B5.3,F52B5.3,1134.3631348958409,-0.5396429919245048,0.31200482746242175,0.0016432782716504237,0.04106476361303326
WBGene00010048,F54D5.2,F54D5.2,493.21310059673374,-0.5193874827547448,0.44209512747511404,6.527527726327523e-4,0.022539988407524025
WBGene00010077,F55A11.4,F55A11.4,399.0040599465201,-0.6796441432052678,0.35765658339872636,0.0019977507919811885,0.04586679965490144
WBGene00010124,F55G11.4,F55G11.4,17539.119549086172,-1.249053747785853,0.7478619645012708,6.655540925751738e-4,0.022799629483481288
WBGene00010193,F57C2.1,btb-20,203.19605636205168,-0.6704420801554215,0.5893530566057383,1.8503954557192318e-4,0.009180371937206257
WBGene00010439,JC8.7,JC8.7,467.35626977744164,-0.5364269039938735,0.37646217016662176,4.266604776384751e-4,0.016949934814926647
WBGene00010678,K08F4.3,K08F4.3,423.26248176979624,-1.1782924716308376,0.616220485573594,0.0072817503560070945,0.09804880012040425
WBGene00010844,M03C11.7,prp-3,1708.798778217247,-0.509473054815858,0.192611627042243,0.003074660887141265,0.060415453456133895
WBGene00010957,MTCE.3,,6692.3691935171255,-1.2053444377465545,0.406274033278163,8.874111537551049e-7,1.5528495986452505e-4
WBGene00010958,MTCE.4,,5282.659477427128,-1.9496975782801969,0.6283193970676157,9.392530843321875e-9,4.3437100675062485e-6
WBGene00010961,MTCE.16,,3679.1488712151845,-1.244032167942571,0.44865197368464454,4.515685734473218e-5,0.003253132062828906
WBGene00010964,MTCE.26,,143979.66753951012,-0.5769099924092077,0.2866611556182455,0.0031521743525078374,0.0612859202661624
WBGene00010965,MTCE.31,,40905.61156000184,-0.5094742298444902,0.270243984515071,0.0010394269494569972,0.030659543436261177
WBGene00010966,MTCE.34,,2974.5098808158446,-1.0804365292345282,0.432737114453558,2.1209744755660263e-6,2.8608852587608827e-4
WBGene00010967,MTCE.35,,21898.30499428689,-0.819094271248617,0.3426058795212175,0.003405495278102353,0.06424963357317398
WBGene00010989,R03D7.2,R03D7.2,317.687564201679,-1.9242555823539513,0.7095078398532012,0.002049511822238597,0.0468062232560275
WBGene00011061,R06C7.1,wago-1,3503.973804232164,-1.28624293745952,0.5144467440513295,0.00519982018344143,0.08215890049562721
WBGene00011109,R07E5.1,gpch-1,1157.1925300259836,-0.5502099875662182,0.18364277845463933,1.1113395661259115e-5,0.0010785600941525281
WBGene00011237,R11A8.2,gkow-1,875.0005633706692,-0.6754852865999291,0.2764890103122591,9.136300357117802e-4,0.02837073221206677
WBGene00011282,R74.8,R74.8,1327.4633626927568,-0.7879854627115808,0.41551726789973675,0.0015979940727796308,0.04041489306332703
WBGene00011720,T11G6.5,T11G6.5,1589.84028306934,-0.6088941990982665,0.22020839103998435,0.0020619703227873058,0.046856546346318195
WBGene00012110,T28A8.4,T28A8.4,336.7917432945404,-1.356571615228031,0.6441941760323023,0.006691939468102534,0.0942915388166047
WBGene00012111,T28A8.5,T28A8.5,136.15816374310256,-1.3541246258433755,0.6154523033292398,0.0011188090014588833,0.03198114295781695
WBGene00013531,Y73F8A.26,Y73F8A.26,386.89593372289386,-0.9579734165489333,0.5864539327665562,0.001647869592604224,0.04106476361303326
WBGene00014087,ZK809.5,ZK809.5,662.9484203454524,-0.6249745204246197,0.3059966806901616,0.006442724318115955,0.09286222139183628
WBGene00015001,B0025.4,B0025.4,287.6230911941117,-0.5106814781667683,0.2721159961582139,2.9689051383075495e-6,3.6268257203721184e-4
WBGene00015349,C02F5.6,henn-1,455.16260174972865,-0.6118979728732357,0.3562057321105305,0.0018005545184871486,0.04349884414158599
WBGene00015504,C06A5.6,simr-1,533.8389592215199,-0.5486498195410026,0.57557256062723,0.0012655466403775366,0.03474551242121334
WBGene00015818,C16A11.5,C16A11.5,228.82363588279537,-0.9099946367421401,0.5132466614170893,0.003873983646764501,0.06938342218804083
WBGene00016151,C27A2.1,smc-5,1875.8178791730854,-0.5119971384668354,0.23390509763137765,7.943827039625516e-4,0.025588213018933038
WBGene00016245,C30B5.4,rbmx-2,519.4399781247108,-0.5883481259502317,0.36634856832368223,0.0017404889218428764,0.04252375669611964
WBGene00016652,C44E4.3,got-2.1,891.5461265140334,-1.2437771324229243,0.5177040410620429,0.004127528271559037,0.0719345404958519
WBGene00016702,C46A5.6,C46A5.6,619.73518574172,-1.1437402864705157,0.5287338719444797,0.001773864956094114,0.043096966491902214
WBGene00017417,F13B6.2,F13B6.2,290.726258194484,-0.9928411562263034,0.5023415575645855,1.0696886202790533e-4,0.006211389212553121
WBGene00018423,F44E2.10,F44E2.10,313.58263285650736,-1.7455956079665667,0.6627892994445841,0.005212686724648532,0.08215890049562721
WBGene00019124,F59E12.9,F59E12.9,1663.2218131227485,-0.5678837137451073,0.20935268084753425,0.002654002779847488,0.05516321347711898
WBGene00019400,K04G7.1,K04G7.1,516.9663503886319,-0.5361868497577353,0.23325231792709628,0.0015858721421322883,0.04026892829784276
WBGene00020103,R148.4,R148.4,191.25181089589708,-1.834530183891568,0.6481090286602593,0.00464472246611507,0.07760582092093424
WBGene00020168,T02G5.12,mct-5,714.3308430983461,-1.3501327039432287,0.5013062184278514,0.002973846515123921,0.05915259373938503
WBGene00020287,T06A10.4,lsy-13,785.2903247031039,-0.571400872044873,0.48181614225460695,0.003160656431008104,0.0612859202661624
WBGene00020314,T07E3.3,T07E3.3,398.8282077552181,-0.6676212880472384,0.3180081878856577,0.0027093187603544626,0.05568725179020625
WBGene00020819,T26A5.2,T26A5.2,439.9679144915774,-1.4410036813188292,0.46974558988274506,0.006657788562164308,0.09401494448360483
WBGene00022101,Y69A2AR.32,Y69A2AR.32,543.0700030121692,-1.3628294317910923,0.6045029244942436,0.0034877078203976457,0.06483041740487822
WBGene00022279,Y74C9A.5,sesn-1,688.8848733569635,-1.0037194764513713,0.327293565516282,0.0038818700662839887,0.06942864017722564
WBGene00022462,Y110A7A.15,Y110A7A.15,594.1042598477736,-1.3765653311299093,0.4598851372085387,0.003649666541061054,0.06637574724747133
WBGene00044067,T28F3.3,zipt-7.1,346.25447905467814,-1.4195935280538143,0.5670879975475941,1.9052206270604274e-4,0.009380495018937443
WBGene00044414,C06A5.12,C06A5.12,41.569220805421416,-2.117667476520229,0.6878402558246007,0.0018514335392462984,0.044540264939962944
WBGene00185002,K11H3.8,K11H3.8,144.95847926644092,-1.8987199096103324,0.665270194886991,0.006300352354367212,0.09187304350979845
WBGene00195093,Y59E9AL.36,Y59E9AL.36,694.7891226339318,-0.5643164994526791,0.25841330811203084,0.005355302917879877,0.08375098729906585
WBGene00018416,NA,NA,1071.2383811339691,-1.3019776204319762,0.33696035085983406,7.437056179262718e-5,0.004739415402511264
