WBgeneID,wormbase_gseq,wikigene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
WBGene00000114,F13D12.4,alh-8,17489.654336924003,-0.6398982730900435,0.2199895586272077,8.749531958654754e-15,1.7491109797347093e-12
WBGene00000118,Y69F12A.2,alh-12,3151.94138253459,-0.5955333327771504,0.48903913432778084,6.2823652307870635e-6,1.8109447190544058e-4
WBGene00000180,ZK1320.6,arc-1,718.1676592536701,-0.5720039221213259,0.19945138785406138,3.231858287968975e-4,0.004593535976611859
WBGene00000515,T27A10.3,ckc-1,820.342887011084,-0.6243613669560505,0.5090638507268914,8.515323756717823e-5,0.0015585776288603737
WBGene00000550,F55H2.6,clu-1,7737.841587141835,-0.8184917875818625,0.29669360282737756,1.6401224980622151e-15,3.712706707745835e-13
WBGene00000761,C24A11.9,coq-1,1084.6138875407069,-0.5011977001157936,0.3246704096217901,2.121018511415402e-8,1.2092162202302697e-6
WBGene00000767,C35D10.4,coq-8,2659.7002462501955,-0.5062309659321326,0.2032242033956099,7.471299141723317e-15,1.5334094358472936e-12
WBGene00000988,F09E10.3,dhs-25,1033.0971191190597,-1.550768832731695,0.2829773821458354,3.144668475293281e-25,1.6691683393168784e-22
WBGene00001155,T05G5.6,ech-6,11194.52367989489,-0.8856563053458995,0.5844405850726235,3.24165154232213e-19,1.0847552650209684e-16
WBGene00001239,F56H11.4,elo-1,10807.682396407492,-1.3257373376256147,0.4142165343217249,3.60829653410261e-15,7.608562814991983e-13
WBGene00001393,Y67H2A.8,fat-1,8559.450476697211,-0.7376425537951408,0.3017703198695209,5.801532940994271e-8,2.9949806021101302e-6
WBGene00001403,F56H11.1,fbl-1,1078.2530317096982,-0.6734332489808446,0.6903693059228858,1.5783724029172836e-5,3.8811320124769563e-4
WBGene00001404,K07A3.1,fbp-1,3836.3592349400196,-0.6385056997875564,0.2984489822091732,8.165379988888307e-9,5.215340007010693e-7
WBGene00001602,C45B2.5,gln-1,520.4856194891448,-1.57670623775501,0.35028678774708316,3.1319143319115526e-10,2.8192723573751188e-8
WBGene00001617,F41B4.4,glr-6,278.0841492990645,-1.102907311535766,0.41679975939053965,0.002031140869952337,0.019516449070646893
WBGene00001794,K04D7.3,gta-1,9063.15629145097,-0.5396989586509913,0.12398789989973084,1.3735486772065886e-5,3.460398492347139e-4
WBGene00001843,W06D4.1,hgo-1,2007.1146725318604,-1.3396679233953508,0.38279177592551317,3.799703766754732e-9,2.6228179408814165e-7
WBGene00002010,C37H5.8,hsp-6,18944.09828674187,-0.5158816266242264,0.23471180573600875,5.128346769262238e-13,7.973802203965014e-11
WBGene00002025,Y22D7AL.5,hsp-60,11429.038668317153,-0.92649829771329,0.2716555557417144,2.275764843141769e-19,7.784632940106944e-17
WBGene00002029,C34F6.4,hst-2,123.40866066253281,-0.8400923356290203,0.30069778563874866,9.272952281497981e-7,3.5070897903955386e-5
WBGene00002055,F37B4.2,ifc-1,2084.808754740503,-1.4800543595117828,0.5148337853135855,2.6732264432125576e-20,1.0287243660092725e-17
WBGene00002173,F33D4.2,itr-1,4733.241836186771,-0.9662783548066483,0.4839485508944283,7.950100858556438e-4,0.00942594354287021
WBGene00002255,F40F4.4,lbp-3,2130.4403310718644,-1.4475510629181543,0.5127171080726479,2.7450857562578812e-8,1.5199678074128621e-6
WBGene00002271,R07B1.10,lec-8,2289.626556883187,-0.5934495305472117,0.49783155355951314,4.732024866577704e-4,0.006143086061470303
WBGene00003093,F58B3.1,lys-4,6029.578736648584,-4.374411007556694,1.0810213429184137,4.24349759842449e-37,5.938196230231651e-34
WBGene00003094,F58B3.2,lys-5,72.1947419541542,-9.012290716536683,2.9626260223989185,1.7306991097472216e-31,1.9029036711670701e-28
WBGene00003233,F45H11.4,mgl-2,423.3282462758302,-0.8553420430402654,0.5215086457001726,5.7627707378075876e-5,0.0011214453851715828
WBGene00003477,H28G03.6,mtm-5,699.0371384342935,-0.7654170396083706,0.33602433463990455,5.683832017807238e-5,0.0011117055432033904
WBGene00003511,F46G10.6,mxl-3,632.5043963316173,-0.5077431464582906,1.4964330970052357,7.738123854797768e-13,1.145316735547135e-10
WBGene00003555,F38E9.2,nas-39,77.57983754121054,-1.5235810609566809,1.0471791337535856,0.013910886482692108,0.08293194253604942
WBGene00003621,K06A1.4,nhr-22,318.00037048143395,-1.0007491957239278,0.6804041772624825,8.439591336056339e-6,2.3115770362262496e-4
WBGene00003637,C24G6.4,nhr-47,228.45384390714017,-0.7398281045586107,0.264788444597026,4.928878474996241e-9,3.28442538379295e-7
WBGene00003648,R11G11.2,nhr-58,129.78410868015268,-0.5332961495029814,0.4118347242017198,2.4597840332794433e-4,0.0036760636528417935
WBGene00003658,H12C20.3,nhr-68,1567.0399167693758,-2.5764731880133205,0.4573538900626827,1.520776271625426e-39,2.6010343499033532e-36
WBGene00003691,H12C20.6,nhr-101,209.709660640661,-0.5038974205399962,0.9650434822463739,4.062422830003678e-7,1.7274274757526688e-5
WBGene00003720,T01G6.8,nhr-130,260.60456436419014,-0.7962930970746943,0.5671927399420761,9.919049019387295e-6,2.6370280061386637e-4
WBGene00003722,R11G11.1,nhr-132,150.43462958082912,-1.2733959670175625,0.4152403503845548,4.833676011357118e-5,9.726114358538577e-4
WBGene00003725,VC5.5,nhr-135,163.45333350507005,-0.6512015354570418,0.36725935473003957,0.003565720434481587,0.030174693528497745
WBGene00003990,F35C8.6,pfn-2,3076.475894893028,-0.5065863811411735,0.2283288256190491,0.003206047308931859,0.027771911213499215
WBGene00004007,F22E10.2,pgp-13,115.43300482485701,-3.1271667121305677,0.9628698735528257,1.0010412119048786e-9,8.025535091068644e-8
WBGene00004010,Y48A6C.5,pha-1,332.2774913735709,-1.2819317191590118,0.35849787000749705,1.973713891078234e-5,4.652584674635108e-4
WBGene00004062,T10H9.5,pmp-5,6821.677427577749,-2.5541200671011617,1.0044220901828271,3.7484326059993784e-26,2.060700825148158e-23
WBGene00004076,W09B6.1,pod-2,13182.833169088994,-0.5508055016571619,0.3068237364666127,0.0064730082543071376,0.04737946555328092
WBGene00004258,D2023.2,pyc-1,9164.26194982594,-0.8981420028290755,0.3264316202490551,2.715395010005135e-13,4.4311219259093614e-11
WBGene00004375,F46F6.1,rme-4,516.7400101604788,-0.5935550931681326,0.2869315263453786,0.011010055445460253,0.07009231206337284
WBGene00004739,H20J18.1,scd-1,1792.6343369286137,-0.7291699381812601,0.3061201968676298,9.077365255496716e-4,0.010365569983520843
WBGene00004752,T23G7.4,sec-5,1064.9529112391297,-0.505854972197948,0.1968816861826712,7.304605775550323e-5,0.0013612566186809456
WBGene00004756,ZC518.2,sec-24.2,2747.125044539026,-0.6259663762717628,0.27413946140813594,0.011321125644571241,0.07156718153876186
WBGene00004978,Y47G6A.10,spg-7,3866.795585036408,-0.5660810187434524,0.20554456905207905,5.259010280721079e-10,4.447909079732943e-8
