Term,Expected,Observed,Enrichment Fold Change,P value,Q value,logQ
non-motile cilium GO:0097730,2.556739478,3,1.173369452,0,0,70
regeneration GO:0031099,4.261232463,5,1.173369452,0,0,70
pharyngeal pumping GO:0043050,2.556739478,3,1.173369452,0,0,70
RNA splicing via transesterification reactions GO:0000375,18.74942284,22,1.173369452,0,0,70
chloride transport GO:0006821,1.704492985,2,1.173369452,0,0,70
embryonic body morphogenesis GO:0010172,0.852246493,1,1.173369452,0,0,70
oocyte differentiation GO:0009994,1.704492985,2,1.173369452,0,0,70
oviposition GO:0018991,10.22695791,12,1.173369452,0,0,70
synaptic signaling GO:0099536,6.817971941,8,1.173369452,0,0,70
extrinsic component of cytoplasmic side of plasma membrane GO:0031234,3.408985971,4,1.173369452,0,0,70
negative regulation of programmed cell death GO:0043069,4.261232463,5,1.173369452,0,0,70
coated membrane GO:0048475,0.852246493,1,1.173369452,0,0,70
passive transmembrane transporter activity GO:0022803,6.817971941,8,1.173369452,0,0,70
transporter complex GO:1990351,8.522464926,10,1.173369452,0,0,70
nucleic acid transport GO:0050657,3.408985971,4,1.173369452,0,0,70
non-membrane spanning protein tyrosine kinase activity GO:0004715,1.704492985,2,1.173369452,0,0,70
tRNA binding GO:0000049,2.556739478,3,1.173369452,0,0,70
anion channel activity GO:0005253,0.852246493,1,1.173369452,0,0,70
negative regulation of proteolysis GO:0045861,3.408985971,4,1.173369452,0,0,70
sodium channel activity GO:0005272,0.852246493,1,1.173369452,0,0,70
response to catecholamine GO:0071869,0.852246493,1,1.173369452,0,0,70
ligand-gated channel activity GO:0022834,2.556739478,3,1.173369452,0,0,70
stabilization of membrane potential GO:0030322,0.852246493,1,1.173369452,0,0,70
nuclear transport GO:0051169,6.817971941,8,1.173369452,0,0,70
DNA geometric change GO:0032392,4.261232463,5,1.173369452,0,0,70
myofibril GO:0030016,2.556739478,3,1.173369452,0,0,70
canonical Wnt signaling pathway GO:0060070,1.704492985,2,1.173369452,0,0,70
catalytic step 2 spliceosome GO:0071013,4.261232463,5,1.173369452,0,0,70
single-stranded DNA binding GO:0003697,2.556739478,3,1.173369452,0,0,70
A band GO:0031672,1.704492985,2,1.173369452,0,0,70
outward rectifier potassium channel activity GO:0015271,0.852246493,1,1.173369452,0,0,70
NADH dehydrogenase complex GO:0030964,5.965725448,7,1.173369452,0,0,70
Notch signaling pathway GO:0007219,0.852246493,1,1.173369452,0,0,70
lipoprotein biosynthetic process GO:0042158,0.852246493,1,1.173369452,0,0,70
structural constituent of cuticle GO:0042302,1.704492985,2,1.173369452,0,0,70
ciliary basal body GO:0036064,1.704492985,2,1.173369452,0,0,70
positive regulation of protein catabolic process GO:0045732,10.22695791,12,1.173369452,0,0,70
ligase activity forming carbon-oxygen bonds GO:0016875,4.261232463,5,1.173369452,0,0,70
regulation of proteolysis involved in protein catabolic process GO:1903050,8.522464926,10,1.173369452,0,0,70
deubiquitinase activity GO:0101005,1.704492985,2,1.173369452,0,0,70
respirasome GO:0070469,11.0792044,13,1.173369452,0,0,70
regulation of mRNA catabolic process GO:0061013,3.408985971,4,1.173369452,0,0,70
