Term,Expected,Observed,Enrichment Fold Change,P value,Q value,logQ
endoplasmic reticulum subcompartment GO:0098827,9.411827384123601,11,1.1687422166874222,0.0,0.0,70.0
external encapsulating structure organization GO:0045229,1.7112413425679276,2,1.1687422166874222,0.0,0.0,70.0
GTPase activator activity GO:0005096,5.133724027703782,6,1.1687422166874222,0.0,0.0,70.0
cyclin-dependent protein kinase activity GO:0097472,2.566862013851891,3,1.1687422166874222,0.0,0.0,70.0
liposaccharide metabolic process GO:1903509,1.7112413425679276,2,1.1687422166874222,0.0,0.0,70.0
carbohydrate transport GO:0008643,4.278103356419819,5,1.1687422166874222,0.0,0.0,70.0
ATP synthesis coupled electron transport GO:0042773,10.267448055407565,12,1.1687422166874222,0.0,0.0,70.0
positive regulation of programmed cell death GO:0043068,1.7112413425679276,2,1.1687422166874222,0.0,0.0,70.0
cellular response to external stimulus GO:0071496,3.422482685135855,4,1.1687422166874222,0.0,0.0,70.0
chemosensory behavior GO:0007635,2.566862013851891,3,1.1687422166874222,0.0,0.0,70.0
thioester metabolic process GO:0035383,3.422482685135855,4,1.1687422166874222,0.0,0.0,70.0
mitotic sister chromatid separation GO:0051306,2.566862013851891,3,1.1687422166874222,0.0,0.0,70.0
anatomical structure maturation GO:0071695,1.7112413425679276,2,1.1687422166874222,0.0,0.0,70.0
spindle localization GO:0051653,4.278103356419819,5,1.1687422166874222,0.0,0.0,70.0
magnesium ion binding GO:0000287,3.422482685135855,4,1.1687422166874222,0.0,0.0,70.0
regulation of RNA splicing GO:0043484,2.566862013851891,3,1.1687422166874222,0.0,0.0,70.0
extracellular structure organization GO:0043062,1.7112413425679276,2,1.1687422166874222,0.0,0.0,70.0
cuticle development GO:0042335,0.8556206712839638,1,1.1687422166874222,0.0,0.0,70.0
chloride channel complex GO:0034707,0.8556206712839638,1,1.1687422166874222,0.0,0.0,70.0
homologous recombination GO:0035825,2.566862013851891,3,1.1687422166874222,0.0,0.0,70.0
establishment of mitotic spindle orientation GO:0000132,2.566862013851891,3,1.1687422166874222,0.0,0.0,70.0
sarcomere organization GO:0045214,0.8556206712839638,1,1.1687422166874222,0.0,0.0,70.0
ribose phosphate metabolic process GO:0019693,11.978689397975494,14,1.1687422166874222,0.0,0.0,70.0
cellular amino acid biosynthetic process GO:0008652,7.700586041555674,9,1.1687422166874222,0.0,0.0,70.0
NADH dehydrogenase complex GO:0030964,5.989344698987747,7,1.1687422166874222,0.0,0.0,70.0
Notch signaling pathway GO:0007219,0.8556206712839638,1,1.1687422166874222,0.0,0.0,70.0
structural constituent of cuticle GO:0042302,1.7112413425679276,2,1.1687422166874222,0.0,0.0,70.0
ciliary basal body GO:0036064,1.7112413425679276,2,1.1687422166874222,0.0,0.0,70.0
response to catecholamine GO:0071869,0.8556206712839638,1,1.1687422166874222,0.0,0.0,70.0
pharyngeal pumping GO:0043050,2.566862013851891,3,1.1687422166874222,0.0,0.0,70.0
purine nucleoside triphosphate metabolic process GO:0009144,6.84496537027171,8,1.1687422166874222,0.0,0.0,70.0
regulation of GTPase activity GO:0043087,4.278103356419819,5,1.1687422166874222,0.0,0.0,70.0
glutathione transferase activity GO:0004364,5.989344698987747,7,1.1687422166874222,0.0,0.0,70.0
extrinsic component of cytoplasmic side of plasma membrane GO:0031234,3.422482685135855,4,1.1687422166874222,0.0,0.0,70.0
nucleosome GO:0000786,2.566862013851891,3,1.1687422166874222,0.0,0.0,70.0
