Term,Expected,Observed,Enrichment Fold Change,P value,Q value,logQ
symporter activity GO:0015293,5.5033183472489835,6,1.090251303197697,0.0,0.0,70.0
oxygen binding GO:0019825,0.9172197245414971,1,1.090251303197697,0.0,0.0,70.0
Notch signaling pathway GO:0007219,1.8344394490829943,2,1.090251303197697,0.0,0.0,70.0
inorganic ion import across plasma membrane GO:0099587,6.42053807179048,7,1.090251303197697,0.0,0.0,70.0
ubiquitin-like protein ligase binding GO:0044389,8.254977520873474,9,1.090251303197697,0.0,0.0,70.0
amino acid transport GO:0006865,7.337757796331977,8,1.090251303197697,0.0,0.0,70.0
stabilization of membrane potential GO:0030322,1.8344394490829943,2,1.090251303197697,0.0,0.0,70.0
extrinsic component of cytoplasmic side of plasma membrane GO:0031234,0.9172197245414971,1,1.090251303197697,0.0,0.0,70.0
GPI anchor metabolic process GO:0006505,2.7516591736244917,3,1.090251303197697,0.0,0.0,70.0
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process GO:0031146,4.586098622707486,5,1.090251303197697,0.0,0.0,70.0
exocytic vesicle GO:0070382,4.586098622707486,5,1.090251303197697,0.0,0.0,70.0
protein localization to extracellular region GO:0071692,1.8344394490829943,2,1.090251303197697,0.0,0.0,70.0
narrow pore channel activity GO:0022842,1.8344394490829943,2,1.090251303197697,0.0,0.0,70.0
cGMP metabolic process GO:0046068,1.8344394490829943,2,1.090251303197697,0.0,0.0,70.0
passive transmembrane transporter activity GO:0022803,25.68215228716192,28,1.090251303197697,0.0,0.0,70.0
muscle system process GO:0003012,3.6688788981659886,4,1.090251303197697,0.0,0.0,70.0
regulation of pH GO:0006885,3.6688788981659886,4,1.090251303197697,0.0,0.0,70.0
molting cycle GO:0042303,9.172197245414972,10,1.090251303197697,0.0,0.0,70.0
endoplasmic reticulum subcompartment GO:0098827,55.03318347248983,60,1.090251303197697,0.0,0.0,70.0
detection of chemical stimulus GO:0009593,1.8344394490829943,2,1.090251303197697,0.0,0.0,70.0
anion channel activity GO:0005253,4.586098622707486,5,1.090251303197697,0.0,0.0,70.0
mating behavior GO:0007617,2.7516591736244917,3,1.090251303197697,0.0,0.0,70.0
adherens junction GO:0005912,5.5033183472489835,6,1.090251303197697,0.0,0.0,70.0
ciliary plasm GO:0097014,0.9172197245414971,1,1.090251303197697,0.0,0.0,70.0
non-motile cilium assembly GO:1905515,1.8344394490829943,2,1.090251303197697,0.0,0.0,70.0
post-transcriptional gene silencing GO:0016441,5.5033183472489835,6,1.090251303197697,0.0,0.0,70.0
regulation of cell motility GO:2000145,11.006636694497967,12,1.090251303197697,0.0,0.0,70.0
L-amino acid transport GO:0015807,4.586098622707486,5,1.090251303197697,0.0,0.0,70.0
amino acid biosynthetic process GO:0008652,22.013273388995934,24,1.090251303197697,0.0,0.0,70.0
SNARE binding GO:0000149,8.254977520873474,9,1.090251303197697,0.0,0.0,70.0
unfolded protein binding GO:0051082,19.26161421537144,21,1.090251303197697,0.0,0.0,70.0
excretion GO:0007588,10.089416969956469,11,1.090251303197697,0.0,0.0,70.0
ABC-type transporter activity GO:0140359,12.84107614358096,14,1.090251303197697,0.0,0.0,70.0
ATP-dependent activity acting on RNA GO:0008186,13.758295868122458,15,1.090251303197697,0.0,0.0,70.0
proton transmembrane transport GO:1902600,18.344394490829945,20,1.090251303197697,0.0,0.0,70.0
calcium ion transport GO:0006816,3.6688788981659886,4,1.090251303197697,0.0,0.0,70.0
endoplasmic reticulum to Golgi vesicle-mediated transport GO:0006888,7.337757796331977,8,1.090251303197697,0.0,0.0,70.0
cellular component assembly involved in morphogenesis GO:0010927,2.7516591736244917,3,1.090251303197697,0.0,0.0,70.0
small nuclear ribonucleoprotein complex GO:0030532,8.254977520873474,9,1.090251303197697,0.0,0.0,70.0
intracellular receptor signaling pathway GO:0030522,6.42053807179048,7,1.090251303197697,0.0,0.0,70.0
ciliary basal body GO:0036064,2.7516591736244917,3,1.090251303197697,0.0,0.0,70.0
regulation of postsynaptic membrane potential GO:0060078,2.7516591736244917,3,1.090251303197697,0.0,0.0,70.0
sarcomere organization GO:0045214,0.9172197245414971,1,1.090251303197697,0.0,0.0,70.0
regulation of neurotransmitter transport GO:0051588,3.6688788981659886,4,1.090251303197697,0.0,0.0,70.0
IRE1-mediated unfolded protein response GO:0036498,17.427174766288445,19,1.090251303197697,0.0,0.0,70.0
cation transmembrane transport GO:0098655,49.529865125240846,54,1.090251303197697,0.0,0.0,70.0
postsynaptic membrane GO:0045211,2.7516591736244917,3,1.090251303197697,0.0,0.0,70.0
serine hydrolase activity GO:0017171,7.337757796331977,8,1.090251303197697,0.0,0.0,70.0
chitin binding GO:0008061,1.8344394490829943,2,1.090251303197697,0.0,0.0,70.0
vitamin B6 binding GO:0070279,17.427174766288445,19,1.090251303197697,0.0,0.0,70.0
regulation of GTPase activity GO:0043087,11.006636694497967,12,1.090251303197697,0.0,0.0,70.0
ligase activity forming carbon-oxygen bonds GO:0016875,21.096053664454434,23,1.090251303197697,0.0,0.0,70.0
synaptic signaling GO:0099536,21.096053664454434,23,1.090251303197697,0.0,0.0,70.0
sodium ion transport GO:0006814,11.006636694497967,12,1.090251303197697,0.0,0.0,70.0
cuticle development GO:0042335,5.5033183472489835,6,1.090251303197697,0.0,0.0,70.0
ubiquitin-dependent ERAD pathway GO:0030433,5.5033183472489835,6,1.090251303197697,0.0,0.0,70.0
GTPase activator activity GO:0005096,11.006636694497967,12,1.090251303197697,0.0,0.0,70.0
peptide receptor activity GO:0001653,1.8344394490829943,2,1.090251303197697,0.0,0.0,70.0
structural constituent of cuticle GO:0042302,11.923856419039463,13,1.090251303197697,0.0,0.0,70.0
GTPase binding GO:0051020,9.172197245414972,10,1.090251303197697,0.0,0.0,70.0
negative regulation of gene expression epigenetic GO:0045814,7.337757796331977,8,1.090251303197697,0.0,0.0,70.0
outward rectifier potassium channel activity GO:0015271,1.8344394490829943,2,1.090251303197697,0.0,0.0,70.0
regulation of mRNA catabolic process GO:0061013,9.172197245414972,10,1.090251303197697,0.0,0.0,70.0
non-motile cilium GO:0097730,7.337757796331977,8,1.090251303197697,0.0,0.0,70.0
sensory perception of smell GO:0007608,2.7516591736244917,3,1.090251303197697,0.0,0.0,70.0
trans-Golgi network GO:0005802,4.586098622707486,5,1.090251303197697,0.0,0.0,70.0
polysaccharide metabolic process GO:0005976,9.172197245414972,10,1.090251303197697,0.0,0.0,70.0
nuclear speck GO:0016607,3.6688788981659886,4,1.090251303197697,0.0,0.0,70.0
respirasome GO:0070469,34.85434953257689,38,1.090251303197697,0.0,0.0,70.0
digestion GO:0007586,8.254977520873474,9,1.090251303197697,0.0,0.0,70.0
actin filament polymerization GO:0030041,2.7516591736244917,3,1.090251303197697,0.0,0.0,70.0
import into nucleus GO:0051170,7.337757796331977,8,1.090251303197697,0.0,0.0,70.0
regulation of mesodermal cell differentiation GO:1905770,0.9172197245414971,1,1.090251303197697,0.0,0.0,70.0
purine nucleoside diphosphate metabolic process GO:0009135,15.592735317205452,17,1.090251303197697,0.0,0.0,70.0
small-subunit processome GO:0032040,18.344394490829945,20,1.090251303197697,0.0,0.0,70.0
calcium ion homeostasis GO:0055074,4.586098622707486,5,1.090251303197697,0.0,0.0,70.0
SNARE complex GO:0031201,6.42053807179048,7,1.090251303197697,0.0,0.0,70.0
endopeptidase regulator activity GO:0061135,1.8344394490829943,2,1.090251303197697,0.0,0.0,70.0
chemosensory behavior GO:0007635,9.172197245414972,10,1.090251303197697,0.0,0.0,70.0
coated membrane GO:0048475,2.7516591736244917,3,1.090251303197697,0.0,0.0,70.0
cell-cell signaling by wnt GO:0198738,0.9172197245414971,1,1.090251303197697,0.0,0.0,70.0
neuropeptide signaling pathway GO:0007218,6.42053807179048,7,1.090251303197697,0.0,0.0,70.0
motor neuron axon guidance GO:0008045,1.8344394490829943,2,1.090251303197697,0.0,0.0,70.0
NAD binding GO:0051287,9.172197245414972,10,1.090251303197697,0.0,0.0,70.0
nuclear outer membrane-endoplasmic reticulum membrane network GO:0042175,56.867622921572824,62,1.090251303197697,0.0,0.0,70.0
ubiquitin binding GO:0043130,3.6688788981659886,4,1.090251303197697,0.0,0.0,70.0
muscle cell development GO:0055001,2.7516591736244917,3,1.090251303197697,0.0,0.0,70.0
chloride transport GO:0006821,9.172197245414972,10,1.090251303197697,0.0,0.0,70.0
apical part of cell GO:0045177,8.254977520873474,9,1.090251303197697,0.0,0.0,70.0
potassium ion transmembrane transport GO:0071805,8.254977520873474,9,1.090251303197697,0.0,0.0,70.0
A band GO:0031672,1.8344394490829943,2,1.090251303197697,0.0,0.0,70.0
flavin adenine dinucleotide binding GO:0050660,26.59937201170342,29,1.090251303197697,0.0,0.0,70.0
locomotion involved in locomotory behavior GO:0031987,3.6688788981659886,4,1.090251303197697,0.0,0.0,70.0
voltage-gated channel activity GO:0022832,4.586098622707486,5,1.090251303197697,0.0,0.0,70.0
NADH dehydrogenase complex GO:0030964,20.178833939912938,22,1.090251303197697,0.0,0.0,70.0
extracellular ligand-gated ion channel activity GO:0005230,2.7516591736244917,3,1.090251303197697,0.0,0.0,70.0
collagen trimer GO:0005581,3.6688788981659886,4,1.090251303197697,0.0,0.0,70.0
translation initiation factor activity GO:0003743,21.096053664454434,23,1.090251303197697,0.0,0.0,70.0
P-body GO:0000932,8.254977520873474,9,1.090251303197697,0.0,0.0,70.0
sodium channel activity GO:0005272,2.7516591736244917,3,1.090251303197697,0.0,0.0,70.0
protein complex oligomerization GO:0051259,3.6688788981659886,4,1.090251303197697,0.0,0.0,70.0
extracellular matrix structural constituent GO:0005201,3.6688788981659886,4,1.090251303197697,0.0,0.0,70.0
canonical Wnt signaling pathway GO:0060070,1.8344394490829943,2,1.090251303197697,0.0,0.0,70.0
dendritic tree GO:0097447,13.758295868122458,15,1.090251303197697,0.0,0.0,70.0
pharyngeal pumping GO:0043050,6.42053807179048,7,1.090251303197697,0.0,0.0,70.0
structural constituent of ribosome GO:0003735,43.109327053450365,47,1.090251303197697,0.0,0.0,70.0
organelle membrane fusion GO:0090174,7.337757796331977,8,1.090251303197697,0.0,0.0,70.0
regulation of synapse structure or activity GO:0050803,9.172197245414972,10,1.090251303197697,0.0,0.0,70.0
cytosolic large ribosomal subunit GO:0022625,1.8344394490829943,2,1.090251303197697,0.0,0.0,70.0
serine-type endopeptidase activity GO:0004252,3.6688788981659886,4,1.090251303197697,0.0,0.0,70.0
striated muscle dense body GO:0055120,13.758295868122458,15,1.090251303197697,0.0,0.0,70.0
myosin phosphatase activity GO:0017018,5.5033183472489835,6,1.090251303197697,0.0,0.0,70.0
ATP synthesis coupled electron transport GO:0042773,25.68215228716192,28,1.090251303197697,0.0,0.0,70.0
