Term,Expected,Observed,Enrichment Fold Change,P value,Q value,logQ
oxidoreductase activity acting on paired donors with incorporation or reduction of molecular oxygen reduced flavin or flavoprotein as one donor and incorporation of one atom of oxygen GO:0016712,6.926123173562748,8,1.1550473186119874,0.0,0.0,70.0
coated membrane GO:0048475,2.5972961900860305,3,1.1550473186119874,0.0,0.0,70.0
structural constituent of chromatin GO:0030527,4.328826983476717,5,1.1550473186119874,0.0,0.0,70.0
lipid oxidation GO:0034440,14.718011743820838,17,1.1550473186119874,0.0,0.0,70.0
purine nucleoside triphosphate metabolic process GO:0009144,27.70449269425099,32,1.1550473186119874,0.0,0.0,70.0
pharyngeal pumping GO:0043050,6.060357776867404,7,1.1550473186119874,0.0,0.0,70.0
regulation of postsynaptic membrane potential GO:0060078,2.5972961900860305,3,1.1550473186119874,0.0,0.0,70.0
embryonic digestive tract development GO:0048566,7.791888570258091,9,1.1550473186119874,0.0,0.0,70.0
locomotion involved in locomotory behavior GO:0031987,3.463061586781374,4,1.1550473186119874,0.0,0.0,70.0
ciliary basal body GO:0036064,2.5972961900860305,3,1.1550473186119874,0.0,0.0,70.0
lipoprotein biosynthetic process GO:0042158,6.926123173562748,8,1.1550473186119874,0.0,0.0,70.0
NADH dehydrogenase complex GO:0030964,19.046838727297555,22,1.1550473186119874,0.0,0.0,70.0
embryonic axis specification GO:0000578,5.194592380172061,6,1.1550473186119874,0.0,0.0,70.0
A band GO:0031672,1.731530793390687,2,1.1550473186119874,0.0,0.0,70.0
tripartite regional subdivision GO:0007351,4.328826983476717,5,1.1550473186119874,0.0,0.0,70.0
maturation of SSU-rRNA GO:0030490,10.389184760344122,12,1.1550473186119874,0.0,0.0,70.0
monocarboxylic acid biosynthetic process GO:0072330,21.644134917383585,25,1.1550473186119874,0.0,0.0,70.0
metal cluster binding GO:0051540,19.9126041239929,23,1.1550473186119874,0.0,0.0,70.0
sensory perception of smell GO:0007608,2.5972961900860305,3,1.1550473186119874,0.0,0.0,70.0
cytosolic large ribosomal subunit GO:0022625,1.731530793390687,2,1.1550473186119874,0.0,0.0,70.0
oxygen binding GO:0019825,0.8657653966953435,1,1.1550473186119874,0.0,0.0,70.0
ribonucleoprotein complex subunit organization GO:0071826,16.449542537211524,19,1.1550473186119874,0.0,0.0,70.0
segmentation GO:0035282,4.328826983476717,5,1.1550473186119874,0.0,0.0,70.0
GPI anchor metabolic process GO:0006505,2.5972961900860305,3,1.1550473186119874,0.0,0.0,70.0
post-transcriptional gene silencing GO:0016441,5.194592380172061,6,1.1550473186119874,0.0,0.0,70.0
postsynaptic membrane GO:0045211,2.5972961900860305,3,1.1550473186119874,0.0,0.0,70.0
polysaccharide metabolic process GO:0005976,8.657653966953434,10,1.1550473186119874,0.0,0.0,70.0
non-membrane spanning protein tyrosine kinase activity GO:0004715,1.731530793390687,2,1.1550473186119874,0.0,0.0,70.0
tRNA binding GO:0000049,11.254950157039465,13,1.1550473186119874,0.0,0.0,70.0
nucleic acid transport GO:0050657,10.389184760344122,12,1.1550473186119874,0.0,0.0,70.0
anion channel activity GO:0005253,4.328826983476717,5,1.1550473186119874,0.0,0.0,70.0
non-motile cilium assembly GO:1905515,1.731530793390687,2,1.1550473186119874,0.0,0.0,70.0
amino acid transport GO:0006865,6.926123173562748,8,1.1550473186119874,0.0,0.0,70.0
detection of chemical stimulus GO:0009593,1.731530793390687,2,1.1550473186119874,0.0,0.0,70.0
cell-cell signaling by wnt GO:0198738,0.8657653966953435,1,1.1550473186119874,0.0,0.0,70.0
protein localization to mitochondrion GO:0070585,21.644134917383585,25,1.1550473186119874,0.0,0.0,70.0
chloride channel complex GO:0034707,2.5972961900860305,3,1.1550473186119874,0.0,0.0,70.0
signaling receptor regulator activity GO:0030545,1.731530793390687,2,1.1550473186119874,0.0,0.0,70.0
regulation of RNA splicing GO:0043484,5.194592380172061,6,1.1550473186119874,0.0,0.0,70.0
magnesium ion binding GO:0000287,17.31530793390687,20,1.1550473186119874,0.0,0.0,70.0
extracellular matrix structural constituent GO:0005201,3.463061586781374,4,1.1550473186119874,0.0,0.0,70.0
anatomical structure maturation GO:0071695,5.194592380172061,6,1.1550473186119874,0.0,0.0,70.0
ligase activity forming carbon-oxygen bonds GO:0016875,19.9126041239929,23,1.1550473186119874,0.0,0.0,70.0
ubiquitin binding GO:0043130,3.463061586781374,4,1.1550473186119874,0.0,0.0,70.0
extracellular ligand-gated ion channel activity GO:0005230,2.5972961900860305,3,1.1550473186119874,0.0,0.0,70.0
ATP synthesis coupled electron transport GO:0042773,24.241431107469616,28,1.1550473186119874,0.0,0.0,70.0
vitamin B6 binding GO:0070279,16.449542537211524,19,1.1550473186119874,0.0,0.0,70.0
muscle cell development GO:0055001,2.5972961900860305,3,1.1550473186119874,0.0,0.0,70.0
nucleus localization GO:0051647,4.328826983476717,5,1.1550473186119874,0.0,0.0,70.0
collagen trimer GO:0005581,3.463061586781374,4,1.1550473186119874,0.0,0.0,70.0
digestion GO:0007586,7.791888570258091,9,1.1550473186119874,0.0,0.0,70.0
sarcomere organization GO:0045214,0.8657653966953435,1,1.1550473186119874,0.0,0.0,70.0
respirasome GO:0070469,32.89908507442305,38,1.1550473186119874,0.0,0.0,70.0
late endosome membrane GO:0031902,2.5972961900860305,3,1.1550473186119874,0.0,0.0,70.0
peptide receptor activity GO:0001653,1.731530793390687,2,1.1550473186119874,0.0,0.0,70.0
structural constituent of ribosome GO:0003735,43.28826983476717,50,1.1550473186119874,0.0,0.0,70.0
structural constituent of cuticle GO:0042302,11.254950157039465,13,1.1550473186119874,0.0,0.0,70.0
regulation of mRNA catabolic process GO:0061013,8.657653966953434,10,1.1550473186119874,0.0,0.0,70.0
