WBgeneID,wormbase_gseq,wikigene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
WBGene00000013,C50F2.10,abf-2,25.832569392808093,1.6545386740279693,0.9820900690966806,1.9853988505982585e-5,4.6924013151448105e-4
WBGene00000277,C23H4.1,cab-1,3571.0029932411167,0.5171620042582434,0.27991546822988767,0.006215484850294473,0.046202569882830224
WBGene00000412,F35E8.11,cdr-1,1932.587728512075,4.2833180038794465,0.596127453064902,5.267873801686393e-33,6.767900866716593e-30
WBGene00000415,Y47H9C.4,ced-1,1332.1702557856554,0.5392037445487219,0.32059583112680134,4.4548983419266566e-4,0.005865172308922567
WBGene00000556,R09B5.3,cnc-2,40.513425021972026,2.2633313834992563,1.0959621752725166,2.6480790285575814e-7,1.1697832201510669e-5
WBGene00000558,R09B5.9,cnc-4,289.4414095888738,3.097066535997516,0.6588779614987305,1.2095896595047382e-14,2.390800484690327e-12
WBGene00000613,C27H5.5,col-36,20.754674458757314,4.478713203495,1.975768338660467,4.0933932028720146e-7,1.7433105803502167e-5
WBGene00000685,F29B9.9,col-111,1797.8682270102292,1.14581380288123,0.8803441534572186,0.002228683101808204,0.0211573937072519
WBGene00000898,Y55D5A.5,daf-2,1681.81935387456,0.5377093430266552,0.19255627161243535,3.259209117839189e-6,1.0317705743270385e-4
WBGene00000973,Y32H12A.3,dhs-9,3019.227320849913,1.1475060890604512,0.39928031976555683,1.0751232466146767e-6,3.93709622162909e-5
WBGene00001329,T04C10.2,epn-1,2810.488181145297,0.5063807808472707,0.1872948340292207,0.006130456586965144,0.04572609151289696
WBGene00001387,F15B9.1,far-3,438.756679973044,5.99519325882507,0.8025325210530525,1.751531633280968e-27,1.3501681595146342e-24
WBGene00001439,F26D12.1,fkh-7,821.1385859663397,0.7008450061746547,0.3152947712542097,7.086880801478895e-6,2.001070353780222e-4
WBGene00001527,F37B12.2,gcs-1,5779.132761950857,0.6202567726154664,0.3306499161377946,5.587776848660609e-8,2.920229005959343e-6
WBGene00001577,T12A7.1,gem-4,378.36942936378915,1.2086790183438567,0.6815912903215605,2.6901465268223115e-11,2.962427786001398e-9
WBGene00001591,F11A5.10,glc-1,687.1257939529409,0.6033166756643149,0.3588336914284961,4.431067857146805e-4,0.005843778712885568
WBGene00001753,R03D7.6,gst-5,8421.928509123094,2.3084052257130803,0.3217914157525695,4.347110559952219e-23,2.0308910152358594e-20
WBGene00001755,F11G11.2,gst-7,11330.872642478778,1.4646720085149887,0.4849426880082246,2.7597801392013837e-10,2.5027959062392782e-8
WBGene00001756,F11G11.1,gst-8,73.43594403577686,0.8262884865288086,0.7286373854254425,4.9058874517442415e-6,1.4657764892159103e-4
WBGene00001760,F37B1.2,gst-12,292.9308798665129,2.555783076900845,1.0988240913590233,9.790243709828923e-9,6.086136583646471e-7
WBGene00001764,F37B1.5,gst-16,194.2774470628645,2.2879507023016203,0.37599297496279055,5.49014988179711e-19,1.8008859729290647e-16
WBGene00001768,Y48E1B.10,gst-20,1964.7205774893564,0.8678546897876471,0.3499109669824516,1.0746987388057364e-5,2.832244522421887e-4
WBGene00001772,F37B1.1,gst-24,398.81779079878305,1.1128196788221771,0.530656071501091,1.0741628952490623e-7,5.207663319514086e-6
WBGene00001779,Y53F4B.35,gst-31,13.223660434903723,2.6701965925768474,0.8853881365528004,4.641462559913446e-8,2.4422330473100884e-6
WBGene00001785,Y32G9A.1,gst-37,12.554487632093531,9.975256257076456,3.248755392289105,6.733511563549406e-10,5.551366191189368e-8
WBGene00001786,F35E8.8,gst-38,10875.353587415635,3.33798738045086,0.7478680134852591,2.775293869104987e-20,1.0435781848778434e-17
WBGene00001787,Y53F4B.33,gst-39,559.9845719878889,0.5945897213854511,0.39539936788130486,1.9089475926222164e-4,0.0030278029871869043
WBGene00001788,F56B3.10,gst-40,252.08231243809522,2.119327102937937,0.7813435127446737,9.26568264189533e-14,1.7005836820250033e-11
WBGene00001942,T23D8.6,his-68,72.1667332631615,0.6019150135364396,0.42724564572214535,2.2727208633551554e-7,1.018562138091466e-5
WBGene00002094,C17C3.4,ins-11,30.60536272938866,1.1105741830890552,0.5285374104435955,1.9488224285754162e-4,0.0030752298240887604
WBGene00002260,T22G5.6,lbp-8,43.992659937814686,1.8547199120843085,1.4529774518077454,1.1714915751430774e-5,3.035442960332912e-4
WBGene00002980,C32D5.9,lgg-1,7045.242628093369,0.5232672983590531,0.16406060381671433,2.4892611045097966e-9,1.8362171506328961e-7
WBGene00002981,ZK593.6,lgg-2,1521.4751059842322,0.9939184906102151,0.21965839096920403,9.932699898111655e-13,1.4311442460671718e-10
WBGene00003026,C12C8.3,lin-41,1424.0388721413622,0.5514747696853807,0.2901389124510067,0.012038918239954054,0.07484649733322928
WBGene00003387,Y54E10BR.7,mod-5,88.31941257298746,0.9933144504633719,0.40529215525103734,1.3000602310562286e-4,0.0022171491794462255
WBGene00003473,K11G9.6,mtl-1,181.59506440252983,2.865475939086202,1.0447121449106744,1.6176224698782542e-5,3.9446707075751895e-4
WBGene00003599,W04H10.3,nhl-3,412.6110428320727,0.8986398821892022,0.2720116820954422,3.794033026869059e-9,2.622986868844856e-7
WBGene00003649,T27B7.1,nhr-59,90.3502355511402,0.7468140176665518,0.34648285143326574,3.4667607144058026e-4,0.004872110294803487
WBGene00003702,Y70C5C.6,nhr-112,120.29425725339865,0.9540403706590621,0.4927584594244337,2.420978263882892e-5,5.505047477032824e-4
