wbps_gene_id,wormbase_gseq,wikigene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
WBGene00000074,C04A11.4,adm-2,804.4040365333813,1.0160764175992112,0.25337609861540517,3.3885336030634985e-7,3.6214280554645294e-5
WBGene00000111,T08B1.3,alh-5,527.1471190564762,0.6804919110084522,0.4198114580466492,0.003425935148522801,0.0460816210698947
WBGene00000155,W03G9.4,app-1,2525.093353867124,-0.3743955666894907,0.17529085915269405,0.009164117214458235,0.08293279731847754
WBGene00000162,W09G10.4,apd-3,773.9623002014375,-0.3591089312334279,0.1688498831951019,0.01028739405460943,0.08883104272605165
WBGene00000180,ZK1320.6,arc-1,439.2345302451248,-0.453247402821316,0.19259992947589935,0.003204811614787947,0.04394703992335488
WBGene00000208,Y53F4B.15,trip-4,774.3049185396314,0.5491748993585127,0.24741020848181633,0.0021251938361193244,0.03406888118712241
WBGene00000227,Y48G1BL.2,atm-1,600.199236203141,0.5756676174998244,0.2750231017615901,0.0023337141345778118,0.03628844634667992
WBGene00000250,C50B8.2,bir-2,107.59085640694272,0.8849256432048564,0.564604714224442,0.0018184476155384895,0.03111240018111571
WBGene00000254,K04F10.4,bli-4,2344.648541102352,-0.4976164431028507,0.24230511956260878,0.004520173547850574,0.05511164112111426
WBGene00000256,Y73B6BL.34,bli-6,714.4032154193915,-0.4760589878377968,1.3813706008344429,0.011913836303051725,0.09705488182510255
WBGene00000265,K04C2.4,brd-1,296.7831169102142,0.6923530596208662,0.32016952171235935,9.286886407024828e-4,0.019788031939045967
WBGene00000283,R173.1,cah-5,970.2812035174406,-0.46709691459001906,0.2647351874319578,0.0099376575004396,0.08672747628057009
WBGene00000383,C17G10.4,cdc-14,998.4870504615856,0.3817156157537709,0.16303620659288817,0.005356581145562477,0.06048864330107859
WBGene00000386,K06A5.7,cdc-25.1,582.4653185747808,0.5907395855187882,0.2879162484098352,0.002303346047165355,0.03602422516971971
WBGene00000390,R07G3.1,cdc-42,2175.312563761907,0.29714363846922104,0.12490239593847663,0.007671851577821039,0.07469931550754744
WBGene00000412,F35E8.11,cdr-1,1618.8189845070824,5.629228714523124,0.5129516811387509,1.0978815798064712e-29,2.4640122256123236e-26
WBGene00000418,C35D10.9,ced-4,221.53604376215608,0.5667668244876607,0.30617046585480845,0.004142404087669344,0.05203508716842853
WBGene00000465,C07G2.1,cpg-1,324.3884237764592,0.7746169202764578,0.4556906580257037,0.0019188635843843946,0.032019104123073426
WBGene00000474,M01E11.5,cey-3,853.9186939790316,0.6116569128796987,0.3544730808838682,0.004002836043045685,0.05086172183219296
WBGene00000475,Y39A1C.3,cey-4,7979.853335770477,0.4431029562384938,0.1262887450684567,1.0132292573758741e-4,0.003974508457935561
WBGene00000482,T14G8.1,chd-3,952.1145880820595,-0.34980204465746156,0.16895106815102787,0.01236831237866834,0.0989648074425759
WBGene00000498,Y39H10A.7,chk-1,384.7616743368839,0.499970688796582,0.3003152218891678,0.00927820228675163,0.08349729554537595
WBGene00000519,Y47D3A.4,cku-70,642.2847067757486,0.5200002275187234,0.20772305562952603,0.0013303599004116816,0.02504749228262255
WBGene00000552,T21H3.3,cmd-1,6969.111804506248,-0.30728138656641574,0.10058030688193713,9.953394477586427e-4,0.020812486030307272
