wbps_gene_id,wormbase_gseq,wikigene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
WBGene00000036,Y44E3A.2,ace-2,548.1068627361396,-0.3737009915155872,0.15395586127144137,0.004679166010644277,0.08469038911201053
WBGene00000086,C02H7.3,aex-3,318.72710193137414,-0.46076175433368616,0.18220230931481074,0.0016560110943245401,0.04775127493827464
WBGene00000094,F09E5.13,agt-2,93.26216282315862,0.501117761047806,0.3363405861241383,0.004205536697130064,0.08044283688004751
WBGene00000100,C25A11.4,ajm-1,2697.033710436307,-0.3966950133932926,0.13792003152611362,0.0011600962808018065,0.04153674169366367
WBGene00000106,T07D3.7,alg-2,1038.1863310478107,-0.4160895957243178,0.18922271359533904,0.005345906406454686,0.09021049582621404
WBGene00000120,C01F6.5,aly-1,322.25385675931585,-0.44228511136278836,0.2334591168998008,0.006590779108935134,0.09825902291580568
WBGene00000123,F36A4.7,ama-1,3553.3792037200246,-0.37025413737244073,0.10756511081985871,2.1496242458548612e-4,0.015102576538073575
WBGene00000145,F35G12.9,apc-11,126.66292298692419,0.5066811265991087,0.2454804458817024,0.0024163643850049245,0.059377304395029765
WBGene00000149,C42D8.8,apl-1,5318.372869532089,-0.4665609245730688,0.1388827126598041,1.403691952814031e-4,0.011837099011304442
WBGene00000163,R11A5.1,apb-3,1175.6121755143029,-0.3276956640631364,0.13616757385965736,0.006796064690039743,0.09995931548229256
WBGene00000197,F28H1.3,aars-2,4375.64507863319,-0.3622999272452977,0.12314000202060098,0.0012059636427119431,0.042169097936645555
WBGene00000206,F35G12.10,asb-1,1381.5703552929733,0.6823719616336652,0.21372585170358727,1.9578656939816498e-5,0.0035715857756254575
WBGene00000208,Y53F4B.15,trip-4,774.3049185396314,-0.4816064159484888,0.21928632575401785,0.0026198479767901607,0.0618376898711036
WBGene00000209,K07A12.3,asg-1,1555.4760325642724,0.394789300112897,0.17792294910624598,0.006302749146178167,0.0977117401814211
WBGene00000217,R12H7.2,asp-4,6946.3098700071705,-0.46698955167265604,0.22362248137854993,0.003728437944794976,0.07482435970880648
WBGene00000222,F45E6.2,atf-6,588.9459098918333,-0.4651000728670493,0.2584768377731165,0.005563844917701108,0.0920426728031488
WBGene00000250,C50B8.2,bir-2,107.59085640694272,0.48237408824851846,0.3672340780924469,0.004998726168913429,0.08685528592333965
WBGene00000277,C23H4.1,cab-1,1635.448759459666,-0.4173490677661636,0.16307343069466804,0.002341441436811037,0.05785293649192188
WBGene00000366,R10E11.1,cbp-1,3018.187811294977,-0.46076655651838616,0.11877219025505263,2.1588542200647394e-5,0.0036516986223894695
WBGene00000386,K06A5.7,cdc-25.1,582.4653185747808,0.47999627604370165,0.24454466889026605,0.0038411438856820698,0.07573987746992382
WBGene00000418,C35D10.9,ced-4,221.53604376215608,0.5805372406037216,0.28429150794707186,0.001048654256625564,0.03977796681611224
WBGene00000445,F29F11.5,ceh-22,11.795333290282116,-0.2667350218704841,0.7003167645509485,0.00550634449397928,0.09151837151886856
WBGene00000465,C07G2.1,cpg-1,324.3884237764592,0.5598492502690194,0.34973490327382384,0.002081372863947552,0.05421231525322579
WBGene00000467,F52B5.5,cep-1,217.68658539727082,0.4629298150869456,0.3154736152293829,0.006759775338673866,0.09970113330841432
WBGene00000474,M01E11.5,cey-3,853.9186939790316,0.5851892881942437,0.3146194947416646,0.0012712674968414152,0.043229515435521455
WBGene00000542,C06G4.2,clp-1,2994.9808043414873,-0.3575762652199149,0.14696125813075053,0.005200987973081461,0.08865380258925944
WBGene00000552,T21H3.3,cmd-1,6969.111804506248,-0.3522148291213335,0.09900001684706575,1.5609522190832066e-4,0.012351634899472696
WBGene00000591,K08A8.3,coh-1,277.5740250641614,-0.49454928111685703,0.19969993414914897,0.0012903246682427736,0.04333045382183838
WBGene00000592,F08H9.1,coh-3,219.24544016613368,1.2075097797670902,0.3715390813087551,4.538241268822415e-7,2.546331538581777e-4
WBGene00000724,AC3.6,col-151,7.068687309018136,0.32609149344338173,0.8931312647557599,0.0018916361910667843,0.05135639707440588
WBGene00000748,C35B8.1,col-175,507.212175716005,-0.2929433457440025,0.7184430878633626,0.005047570617561149,0.08747823157796453
WBGene00000770,C40H1.1,cpb-1,544.3045654591916,0.5122646376739928,0.301441686320687,0.003401583666958711,0.0713484823353053
WBGene00000773,F28C6.3,cpf-1,467.39116756574515,0.40899816133249495,0.19385618996148574,0.006809393823761271,0.09995931548229256
WBGene00000777,F43G9.9,cpn-1,705.5199968899769,0.41990408033300913,0.1961941797082853,0.0057535094691878175,0.09402519236903295
