Term,Expected,Observed,Enrichment Fold Change,P value,Q value,logQ
supramolecular polymer GO:0099081,58.23048327137546,124,2.1294688457609805,2.261007461235534e-18,6.443871264521272e-16,15.190853144489088
myofibril GO:0030016,18.46332396409466,53,2.870555708336607,2.839513641527852e-15,4.046306939177189e-13,12.392941176203156
muscle system process GO:0003012,12.782301205911688,41,3.207560152082624,1.5591803751789775e-14,1.4812213564200286e-12,11.829380034869619
cytosolic large ribosomal subunit GO:0022625,8.876598059660894,32,3.604984678243105,6.526009117538048e-14,4.64978149624586e-12,11.332567455110977
actin binding GO:0003779,23.079154955118323,58,2.513090280506011,3.325130632639129e-13,1.8953244606043038e-11,10.722316432456838
sarcomere organization GO:0045214,6.568682564149062,25,3.8059382160505755,3.2505035388186696e-12,1.543989180938868e-10,9.81135574718358
actin filament-based process GO:0030029,38.87949950131472,81,2.083360152238096,4.0206310108870654e-12,1.6369711972897337e-10,9.785958961985846
structural constituent of ribosome GO:0003735,26.452262217789464,59,2.2304330538626593,9.672352483926817e-11,3.445775572398929e-09,8.46271301210063
muscle cell development GO:0055001,8.699066098467677,27,3.1037814512934894,7.154950467534138e-10,2.265734314719144e-08,7.64479101786906
cellular component assembly involved in morphogenesis GO:0010927,7.811406292501586,25,3.200448045315257,1.0623218373318715e-09,3.027617236395834e-08,7.518899030964762
respirasome GO:0070469,12.604769244718469,34,2.697391704671338,1.2833394538315662e-09,3.3250158576545126e-08,7.478206279120147
ATP synthesis coupled electron transport GO:0042773,9.764257865626984,28,2.86760144860247,4.520211117757079e-09,1.0735501404673063e-07,6.969177666905662
proton transmembrane transport GO:1902600,14.025024934264213,33,2.3529369933153177,1.5492818862986052e-07,3.3965025968854036e-06,5.468968049021857
cell part morphogenesis GO:0032990,32.13328497597244,59,1.8361023482073826,4.371828288284998e-07,8.899793301151604e-06,5.050620079783369
A band GO:0031672,6.568682564149062,19,2.8925130441984375,6.642625610622223e-07,1.2276376114235536e-05,4.910929814453735
external encapsulating structure GO:0030312,13.492429050684558,31,2.2975848072684264,6.461250586439756e-07,1.2276376114235536e-05,4.910929814453735
meiotic cell cycle GO:0051321,39.58962734608759,67,1.692362482078812,2.4128541477965286e-06,4.045079012482416e-05,4.393072990899674
neuron development GO:0048666,35.683924199836795,61,1.7094532445027162,4.3253666657859515e-06,6.848497220827756e-05,4.164404716143017
phosphorus metabolic process GO:0006793,207.17979871248528,266,1.2839089604925369,4.553844166171284e-06,6.848497220827756e-05,4.164404716143017
reproduction GO:0000003,147.1739958291776,196,1.3317570056838974,6.900946530793686e-06,9.833848806381004e-05,4.007276473192411
calcium ion binding GO:0005509,30.357965364040258,53,1.7458350506842524,8.134285708936387e-06,0.00011039387747842239,3.9570550122143335
cellular developmental process GO:0048869,159.7787650738961,210,1.3143173306094653,8.552147218998984e-06,0.00011078917988248683,3.95550265248475
cell projection organization GO:0030030,60.715930728080515,91,1.498782920870443,1.6995305405135367e-05,0.00021059400175928609,3.67655400276089
striated muscle dense body GO:0055120,17.75319611932179,34,1.9151481103166494,2.8121122175104832e-05,0.0003339383258293699,3.47633373446158
non-membrane spanning protein tyrosine kinase activity GO:0004715,7.988938253694805,19,2.378288503007604,3.06860169533217e-05,0.0003498205932678674,3.456154628021009
purine nucleoside triphosphate metabolic process GO:0009144,6.923746486535498,17,2.4553180901495506,4.090908596397939e-05,0.0004484265192205433,3.348308711842928
peptide biosynthetic process GO:0043043,67.46214525342279,96,1.4230202677275416,9.283763821732348e-05,0.0009799528478495255,3.0087948206456874
extracellular region GO:0005576,104.92138906519176,140,1.334332315339559,0.00010413618787876888,0.0010599576266231833,2.9747114959536827
pole plasm GO:0045495,15.97787650738961,30,1.8775961865849506,0.00011035347702003066,0.0010845083086451289,2.9647671164161236
transporter activity GO:0005215,177.17689727083143,221,1.2473409536130484,0.0001610431956085535,0.0015299103582812584,2.8153340149629966
structural constituent of cytoskeleton GO:0005200,6.391150602955844,15,2.3469952332311883,0.0001885961758350913,0.0017338680681613231,2.760983951524961
transporter complex GO:1990351,26.09719829540303,43,1.6476864494520995,0.00020938757455473474,0.0018165273718554265,2.7407580537020597
neuropeptide signaling pathway GO:0007218,33.020944781938525,52,1.5747580919744748,0.00020566893892263655,0.0018165273718554265,2.7407580537020597
transmembrane transport GO:0055085,178.7746849215704,222,1.241786554384883,0.00020396096806797771,0.0018165273718554265,2.7407580537020597
extracellular structure organization GO:0043062,7.101278447728715,16,2.253115423901941,0.0002326152082385932,0.0018941524099428302,2.7225850791162096
cell projection GO:0042995,123.91730891286608,159,1.283113726362495,0.0002973399942681416,0.0023539416212894544,2.628204312038989
adenyl ribonucleotide binding GO:0032559,172.02847039622813,213,1.2381671447139149,0.00031467655749075284,0.0024238599698612044,2.615492473644866
external encapsulating structure organization GO:0045229,6.746214525342279,15,2.2234691683242835,0.000401081244330237,0.0030081093324767776,2.5217063829645543
taxis GO:0042330,38.7019675401215,58,1.4986318186503733,0.0004181288820659797,0.003055557215097544,2.514909579733877
monoatomic anion transport GO:0006820,20.94877142079971,34,1.6230068731497032,0.0010501488878789684,0.0074823108261376494,2.1259642545349626
monoatomic ion homeostasis GO:0050801,22.724091032731888,36,1.584221782431052,0.0012957204097661088,0.009006836994715635,2.0454276970248797
adherens junction GO:0005912,8.166470214888022,16,1.959230803392992,0.0015643443068093796,0.010413823445275293,1.9823897895749294
mRNA binding GO:0003729,30.89056124761991,46,1.4891280100501334,0.0015745592858597195,0.010413823445275293,1.9823897895749294
ribonucleotide binding GO:0032553,211.97316166470216,251,1.1841121679216648,0.0015485768930019194,0.010413823445275293,1.9823897895749294
purine nucleotide binding GO:0017076,218.364312267658,258,1.181511746680286,0.0015346687182510959,0.010413823445275293,1.9823897895749294
peptidase inhibitor activity GO:0030414,14.735152779037085,25,1.696623060167124,0.0018799994650155,0.011647822772378642,1.933755245994942
nucleoside phosphate binding GO:1901265,237.53776407652552,277,1.1661303670045546,0.0023019572347666743,0.013958676849117068,1.8551557467817268
endopeptidase regulator activity GO:0061135,14.20255689545743,24,1.6898365679264555,0.0023590523439696075,0.014006873292319545,1.8536588000062986
calcium ion transport GO:0006816,11.539577477559162,20,1.7331657106938008,0.0032640786923794148,0.018984947496492516,1.7215905995784433
NADH dehydrogenase complex GO:0030964,7.456342370115151,14,1.8775961865849506,0.00422865911510735,0.024103356956111894,1.61792246755016
ribonucleoprotein granule GO:0035770,25.209538489436937,37,1.4676984275417573,0.0049146651526244456,0.027464305264666016,1.5612313823895017
chloride channel complex GO:0034707,6.213618641762626,12,1.9312417919159492,0.005142625651608065,0.02818554443669805,1.549973571857805
motor neuron axon guidance GO:0008045,6.213618641762626,12,1.9312417919159492,0.005142625651608065,0.02818554443669805,1.549973571857805
envelope GO:0031975,68.17227309819566,87,1.2761786580694587,0.005927693557573769,0.031285049331639336,1.5046631558713135
symporter activity GO:0015293,9.941789826820202,17,1.70995366992558,0.0065712224916853095,0.03405088018418751,1.4678716574899588
basal plasma membrane GO:0009925,9.23166198204733,16,1.7331657106938005,0.006743769266658865,0.03432096858924601,1.4644404642082685
homologous recombination GO:0035825,7.811406292501586,14,1.7922509053765439,0.006926795202080821,0.034633976010404105,1.460497648206301
sodium ion transport GO:0006814,17.930728080515006,27,1.5057949615186237,0.00870058890614616,0.04275289376295958,1.3690344843801963
cell surface GO:0009986,22.013963187959018,32,1.4536228541302842,0.009071132807801238,0.043818183902090725,1.3583456262651612
nuclear speck GO:0016607,6.036086680569408,11,1.822372769332452,0.011135600048381504,0.05289410022981215,1.2765927661600287
cell body GO:0044297,42.78520264756551,56,1.3088637317272684,0.012292099228511589,0.05743029967419348,1.2408589175424616
pharyngeal pumping GO:0043050,12.072173361138816,19,1.5738673916962087,0.01256277360521645,0.05774823350784981,1.2384612961029495
serine-type endopeptidase inhibitor activity GO:0004867,12.072173361138816,19,1.5738673916962087,0.01256277360521645,0.05774823350784981,1.2384612961029495
cellular response to toxic substance GO:0097237,10.651917671593074,17,1.5959567585972079,0.01407887994752476,0.0626950122663212,1.2027670083140367
inorganic ion import across plasma membrane GO:0099587,6.391150602955844,11,1.7211298377028714,0.01801306005324187,0.07689622569127263,1.114094976215217
locomotion involved in locomotory behavior GO:0031987,7.101278447728715,12,1.6898365679264555,0.017583010145877657,0.07689622569127263,1.114094976215217
oocyte differentiation GO:0009994,10.11932178801342,16,1.5811336308083794,0.01774100451525429,0.07689622569127263,1.114094976215217
perikaryon GO:0043204,15.622812585003173,23,1.4722061008450182,0.01753773568397446,0.07689622569127263,1.114094976215217
passive transmembrane transporter activity GO:0022803,72.25550820563967,88,1.2179002291361842,0.019231319272958968,0.07943371004048269,1.0999951527662195
negative regulation of gene expression epigenetic GO:0045814,6.568682564149062,11,1.6746128150622532,0.02245559812940204,0.09142636381256544,1.0389285525447023
calmodulin binding GO:0005516,8.876598059660894,14,1.5771807967313585,0.02372632541746087,0.09523947526727251,1.0211830060554379
