Term,Expected,Observed,Enrichment Fold Change,P value,Q value,logQ
extracellular structure organization GO:0043062,0.17225950782997762,1,5.805194805194805,0.0,0.0,70.0
mitochondrial outer membrane GO:0005741,0.34451901565995524,2,5.805194805194805,0.0,0.0,70.0
Golgi stack GO:0005795,0.17225950782997762,1,5.805194805194805,0.0,0.0,70.0
liposaccharide metabolic process GO:1903509,0.34451901565995524,2,5.805194805194805,0.0,0.0,70.0
cellular response to external stimulus GO:0071496,0.34451901565995524,2,5.805194805194805,0.0,0.0,70.0
response to biotic stimulus GO:0009607,14.642058165548098,37,2.5269671504965623,2.1031757975176153e-09,9.990085038208673e-08,7.000430814930415
defense response GO:0006952,14.642058165548098,37,2.5269671504965623,2.1031757975176153e-09,9.990085038208673e-08,7.000430814930415
biological process involved in interspecies interaction between organisms GO:0044419,14.642058165548098,37,2.5269671504965623,2.1031757975176153e-09,9.990085038208673e-08,7.000430814930415
immune system process GO:0002376,11.369127516778523,31,2.7266824085005905,3.4179792315708093e-09,1.082360089997423e-07,6.965628229911397
oxidoreductase activity acting on paired donors with incorporation or reduction of molecular oxygen reduced flavin or flavoprotein as one donor and incorporation of one atom of oxygen GO:0016712,1.5503355704697988,6,3.87012987012987,0.00011402996717482669,0.0032498540644825607,2.488136140686646
steroid hydroxylase activity GO:0008395,1.5503355704697988,6,3.87012987012987,0.00011402996717482669,0.0032498540644825607,2.488136140686646
response to xenobiotic stimulus GO:0009410,1.5503355704697988,6,3.87012987012987,0.00011402996717482669,0.0032498540644825607,2.488136140686646
sugar transmembrane transporter activity GO:0051119,1.2058165548098434,4,3.3172541743970316,0.0023120246942803266,0.050686695220761004,1.295106023911251
process utilizing autophagic mechanism GO:0061919,0.8612975391498882,3,3.483116883116883,0.0037685224177030734,0.07671634921752685,1.1151120725788932
molting cycle GO:0042303,0.8612975391498882,3,3.483116883116883,0.0037685224177030734,0.07671634921752685,1.1151120725788932
response to extracellular stimulus GO:0009991,0.8612975391498882,3,3.483116883116883,0.0037685224177030734,0.07671634921752685,1.1151120725788932
thioester metabolic process GO:0035383,0.5167785234899329,2,3.87012987012987,0.005090917915456061,0.08534774152382221,1.0688079667193586
outer membrane GO:0019867,0.5167785234899329,2,3.87012987012987,0.005090917915456061,0.08534774152382221,1.0688079667193586
proton transmembrane transport GO:1902600,0.5167785234899329,2,3.87012987012987,0.005090917915456061,0.08534774152382221,1.0688079667193586
Golgi membrane GO:0000139,0.5167785234899329,2,3.87012987012987,0.005090917915456061,0.08534774152382221,1.0688079667193586
carbohydrate transport GO:0008643,1.378076062639821,4,2.9025974025974026,0.005294396608758733,0.08534774152382221,1.0688079667193586
