Term,Expected,Observed,Enrichment Fold Change,P value,Q value,logQ
immune system process GO:0002376,28.91934251259666,93,3.2158407460159633,1.0197875776121249e-25,2.906394596194556e-23,22.536645422620246
response to biotic stimulus GO:0009607,40.96084349053793,115,2.8075593713436424,1.7268816039341247e-25,2.906394596194556e-23,22.536645422620246
biological process involved in interspecies interaction between organisms GO:0044419,41.059544318225974,115,2.800810430547143,2.1633496102669454e-25,2.906394596194556e-23,22.536645422620246
defense response GO:0006952,41.158245145914016,115,2.7940938587712507,2.707624419347567e-25,2.906394596194556e-23,22.536645422620246
respirasome GO:0070469,7.007758765851068,27,3.852872352223578,4.239543064664274e-11,2.4165395468586363e-09,8.61680609320379
NADH dehydrogenase complex GO:0030964,4.145434762897815,17,4.100896762904637,2.637651169936849e-08,1.2528843057200032e-06,5.902089030927005
meiotic cell cycle GO:0051321,22.010284574433637,47,2.135365394348128,1.872249040545659e-07,7.6227282365073255e-06,5.117889563306071
pole plasm GO:0045495,8.883074491923889,25,2.8143409157188684,3.514626962280096e-07,1.2520858553122842e-05,4.902365890606441
ribonucleoprotein granule GO:0035770,14.015517531702136,32,2.2831836161324905,2.5001869853375442e-06,7.917258786902224e-05,4.101425159293356
ATP synthesis coupled electron transport GO:0042773,5.428545522842376,17,3.1315938916726322,3.045851289537273e-06,8.680676175181229e-05,4.061446444441881
membrane microdomain GO:0098857,4.638938901338031,15,3.233498073379125,5.995694725265058e-06,0.00015534299970004924,3.808708312799352
purine nucleoside triphosphate metabolic process GO:0009144,3.849332279833685,13,3.377209098862642,1.1303757511770767e-05,0.0002684642409045557,3.571113553584798
ATP-dependent activity acting on RNA GO:0008186,4.935041384402161,15,3.0394881889763776,1.4725138713920915e-05,0.0003228203487282662,3.4910390976740486
peptide biosynthetic process GO:0043043,37.50631452145642,62,1.6530549799696093,3.220820005355856e-05,0.0006556669296617278,3.1833167206001005
envelope GO:0031975,37.90111783220859,62,1.6358356572615924,4.4335155333113276e-05,0.0008423679513291523,3.0744981646450658
ATP hydrolysis activity GO:0016887,22.898592023626026,40,1.7468322925151596,0.00017908742065586865,0.00318999468043266,2.496210041162464
reproduction GO:0000003,81.82298615338782,112,1.3688085129286465,0.00029639318733839707,0.004968944611261363,2.3037358443004763
transporter complex GO:1990351,14.509021670142351,27,1.8609111361079866,0.0005255011965878894,0.008320435612641583,2.079853935822969
translation initiation factor activity GO:0003743,5.329844695154334,13,2.439095460289686,0.0005870737430313624,0.008806106145470435,2.0552160840236358
membrane-enclosed lumen GO:0031974,74.9139282152248,102,1.3615625615967963,0.0006178478136984421,0.008806106145470435,2.0552160840236358
homologous recombination GO:0035825,4.342836418273901,11,2.532906824146982,0.0008734500547324319,0.011853965028511576,1.9261363583477895
determination of adult lifespan GO:0008340,25.760916026579277,40,1.5527398155690308,0.0019953767290252916,0.02584919853510037,1.5875529178380985
proton transmembrane transport GO:1902600,7.797365387355414,15,1.9237267018837836,0.004091995018783959,0.050705155667540365,1.2949478796385487
defense response to Gram-positive bacterium GO:0050830,7.303861248915197,14,1.9167943534085268,0.005293667912153116,0.06286230645681826,1.2016096884935497
serine hydrolase activity GO:0017171,6.218152144346722,12,1.9298337707786528,0.007783917120194643,0.08873665517021893,1.051896945559675
nucleoside phosphate binding GO:1901265,132.06170744660182,158,1.196410398251788,0.008417229134205392,0.09226578089417449,1.0349593382407816
