Term,Expected,Observed,Enrichment Fold Change,P value,Q value,logQ
muscle system process GO:0003012,8.720801005142286,41,4.701402999085065,1.1064103723256284e-20,3.153269561128041e-18,17.501238901466998
supramolecular polymer GO:0099081,39.72809346787042,101,2.542281574163191,7.040425976028664e-20,1.0032607015840846e-17,16.99858619903581
myofibril GO:0030016,12.596712562983305,49,3.889903794740176,2.1449851333463122e-19,2.0377358766789966e-17,16.69085210822679
actin filament-based process GO:0030029,26.525769723974456,69,2.6012440248863578,8.419991003488444e-15,5.999243589985517e-13,12.221903503850374
actin binding GO:0003779,15.74589070372913,49,3.111923035792141,1.669596247884154e-14,9.516698612939679e-13,12.02151368426738
sarcomere organization GO:0045214,4.481522738753675,23,5.132184157208219,6.958958916176875e-14,3.3055054851840158e-12,11.480762117830448
cellular component assembly involved in morphogenesis GO:0010927,5.329378392031398,24,4.503339458103654,1.5845313678272904e-12,6.451306283296826e-11,10.190352338978979
muscle cell development GO:0055001,5.9349895729440565,25,4.212307316253418,4.825849774169665e-12,1.6644468478653597e-10,9.778730068964716
extracellular region GO:0005576,71.58324158387627,130,1.8160675197654332,4.672131502779957e-12,1.6644468478653597e-10,9.778730068964716
external encapsulating structure GO:0030312,9.205289949872414,29,3.150362471787425,1.304542213149469e-09,3.717945307475986e-08,7.429697003169845
neuropeptide signaling pathway GO:0007218,22.52873592995091,52,2.308163234798647,1.5407571008417314e-09,3.991961579453577e-08,7.398813647222242
calcium ion binding GO:0005509,20.71190238721293,49,2.365789442415078,1.6825853381041748e-09,3.996140177997415e-08,7.398359285845707
A band GO:0031672,4.481522738753675,18,4.016491949119476,7.42428564838156e-09,1.6276318536836496e-07,6.788443819344884
cell projection GO:0042995,84.54332085540717,132,1.561329726162012,8.165832392260993e-08,1.6623301655674166e-06,5.779282714099796
cell projection organization GO:0030030,41.42380477442586,74,1.7864124361093445,2.3324932254378803e-07,4.431737128331973e-06,5.353426008004504
cell part morphogenesis GO:0032990,21.92312474903825,46,2.098241036648664,2.7323993657558304e-07,4.867086370252573e-06,5.312730946793011
non-membrane spanning protein tyrosine kinase activity GO:0004715,5.45050062821393,18,3.30244893594268,3.8902854023900256e-07,6.521949056947984e-06,5.185622597798199
neuron development GO:0048666,24.345569472688886,49,2.012686540562081,4.798130872122561e-07,7.597040547527388e-06,5.119355555638573
