Term,Expected,Observed,Enrichment Fold Change,P value,Q value,logQ
extracellular structure organization GO:0043062,0.15100671140939598,1,6.622222222222222,0.0,0.0,70.0
Golgi stack GO:0005795,0.15100671140939598,1,6.622222222222222,0.0,0.0,70.0
cellular response to external stimulus GO:0071496,0.30201342281879195,2,6.622222222222222,0.0,0.0,70.0
mitochondrial outer membrane GO:0005741,0.30201342281879195,2,6.622222222222222,0.0,0.0,70.0
liposaccharide metabolic process GO:1903509,0.30201342281879195,2,6.622222222222222,0.0,0.0,70.0
response to biotic stimulus GO:0009607,12.835570469798657,37,2.882614379084967,3.788850936668765e-11,1.7997041949176633e-09,8.744798871047795
biological process involved in interspecies interaction between organisms GO:0044419,12.835570469798657,37,2.882614379084967,3.788850936668765e-11,1.7997041949176633e-09,8.744798871047795
defense response GO:0006952,12.835570469798657,37,2.882614379084967,3.788850936668765e-11,1.7997041949176633e-09,8.744798871047795
immune system process GO:0002376,9.966442953020135,31,3.11043771043771,1.0301083307469218e-10,3.262009714031919e-09,8.486514749995873
oxidoreductase activity acting on paired donors with incorporation or reduction of molecular oxygen reduced flavin or flavoprotein as one donor and incorporation of one atom of oxygen GO:0016712,1.3590604026845639,6,4.4148148148148145,4.7138535004133804e-05,0.0013434482476178133,2.871779058822856
response to xenobiotic stimulus GO:0009410,1.3590604026845639,6,4.4148148148148145,4.7138535004133804e-05,0.0013434482476178133,2.871779058822856
steroid hydroxylase activity GO:0008395,1.3590604026845639,6,4.4148148148148145,4.7138535004133804e-05,0.0013434482476178133,2.871779058822856
sugar transmembrane transporter activity GO:0051119,1.0570469798657718,4,3.784126984126984,0.0012438135434505164,0.027268219991030553,1.5643432109144044
process utilizing autophagic mechanism GO:0061919,0.7550335570469798,3,3.9733333333333336,0.0022662537496289537,0.046134451331732274,1.3359746400038608
carbohydrate transport GO:0008643,1.2080536912751678,4,3.311111111111111,0.002905965688474145,0.05521334808100875,1.2579559168877548
proton transmembrane transport GO:1902600,0.45302013422818793,2,4.4148148148148145,0.0034271782757302723,0.06104661303644548,1.214338426401923
thioester metabolic process GO:0035383,0.45302013422818793,2,4.4148148148148145,0.0034271782757302723,0.06104661303644548,1.214338426401923
Golgi membrane GO:0000139,0.45302013422818793,2,4.4148148148148145,0.0034271782757302723,0.06104661303644548,1.214338426401923
outer membrane GO:0019867,0.45302013422818793,2,4.4148148148148145,0.0034271782757302723,0.06104661303644548,1.214338426401923
membrane microdomain GO:0098857,1.3590604026845639,4,2.9432098765432095,0.005731810674940882,0.08167830211790757,1.0878932986940126
iron ion binding GO:0005506,3.0201342281879193,7,2.3177777777777777,0.006026265727478175,0.08178503487291809,1.0873261568017678
