Term,Expected,Observed,Enrichment Fold Change,P value,Q value,logQ
immune system process GO:0002376,18.281426887556183,91,4.977729613761274,1.649751198041751e-39,4.7017909144189906e-37,36.32773668757456
response to biotic stimulus GO:0009607,25.893488595002786,109,4.209552513562658,3.552196556466847e-39,5.0618800929652576e-37,36.2956881467282
biological process involved in interspecies interaction between organisms GO:0044419,25.95588254342448,109,4.199433396943517,4.536357934842864e-39,5.0618800929652576e-37,36.2956881467282
defense response GO:0006952,26.018276491846173,109,4.189362813257802,5.788196569130492e-39,5.0618800929652576e-37,36.2956881467282
meiotic cell cycle GO:0051321,13.913850498037641,39,2.802962415436361,1.61090396486347e-09,9.182152599721779e-08,7.037055493897769
membrane microdomain GO:0098857,2.9325155758195924,14,4.774058189302957,9.170727407608781e-08,4.356095518614171e-06,5.360902605786731
pole plasm GO:0045495,5.615455357952412,18,3.205439069960556,2.4255628923646724e-06,9.875506061770453e-05,4.0054406400859985
homologous recombination GO:0035825,2.745333730554512,11,4.006798837450695,1.1035700641394766e-05,0.00039314683534968854,3.405445215853496
ribonucleoprotein granule GO:0035770,8.859940675880472,22,2.483086603490572,2.4582983093123526e-05,0.000778461131282245,3.108763066963626
reproduction GO:0000003,51.72458324158388,81,1.5659865178938785,3.060853238673174e-05,0.0008723431730218546,3.059312633380896
defense response to Gram-positive bacterium GO:0050830,4.617152183205316,14,3.032172093205932,4.483805445298462e-05,0.0011617132290091471,2.934901065086369
neuropeptide signaling pathway GO:0007218,11.605274406434983,25,2.154192923360589,0.0001008795282840367,0.0023958887967458716,2.6205333432444986
serine hydrolase activity GO:0017171,3.930818750566688,10,2.5439992618734575,0.0016624428862151769,0.03644586327471734,1.4383517583999739
aminoacyltransferase activity GO:0016755,9.73345595378418,19,1.9520302028605951,0.0017802399082146975,0.03644586327471734,1.4383517583999739
recombinational repair GO:0000725,3.4316671631931404,9,2.622631966331364,0.0019458200409089802,0.036970580777270626,1.4321437269659063
actin binding GO:0003779,8.11121329482015,16,1.9725778892064962,0.003067143784934426,0.054633498669144465,1.2625409868540727
cell part morphogenesis GO:0032990,11.293304664326516,20,1.770960812132904,0.004652668556040594,0.07800061991009231,1.107901945739487
actin filament-based process GO:0030029,13.664274704350866,23,1.6832214294313426,0.005402383680076589,0.08553774160121266,1.0678422203298392
