Term,Expected,Observed,Enrichment Fold Change,P value,Q value,logQ
response to biotic stimulus GO:0009607,20.04333337622068,87,4.340595367396144,7.782507854578166e-32,2.4359249584829658e-29,28.61333609478249
biological process involved in interspecies interaction between organisms GO:0044419,20.08930432433128,87,4.330662654884939,9.311491675914603e-32,2.4359249584829658e-29,28.61333609478249
defense response GO:0006952,20.135275272441877,87,4.320775297225385,1.1134454023348576e-31,2.4359249584829658e-29,28.61333609478249
immune system process GO:0002376,14.342935810506543,67,4.671289119966702,5.498816333465771e-27,4.302823780936966e-25,24.366246439772382
organic acid metabolic process GO:0006082,21.238578027096228,74,3.484225728558222,2.54964306400884e-21,1.596076558069534e-19,18.79694628093659
amino acid biosynthetic process GO:0008652,2.7122859385252758,15,5.530390357056454,6.403205073615041e-09,3.2499195217183947e-07,6.488127393392314
defense response to Gram-positive bacterium GO:0050830,3.447821108294842,17,4.930650247224555,6.229877677415453e-09,3.2499195217183947e-07,6.488127393392314
iron ion binding GO:0005506,5.562484721382345,20,3.5955154938438656,1.546195115452529e-07,6.04948838920802e-06,5.2182813524779394
tetrapyrrole binding GO:0046906,7.309380749585065,22,3.009830894532192,1.1794246290999028e-06,4.10177676564744e-05,4.387027979288379
lipid catabolic process GO:0016042,7.677148334469848,22,2.8656473786264582,2.7860606580925368e-06,8.72036985982964e-05,4.059465094806348
steroid hydroxylase activity GO:0008395,1.8388379244239157,9,4.894395465994962,9.913011531406033e-06,0.0002820702372118262,3.549642736235924
oxidoreductase activity acting on paired donors with incorporation or reduction of molecular oxygen reduced flavin or flavoprotein as one donor and incorporation of one atom of oxygen GO:0016712,1.8848088725345136,9,4.775019966824353,1.2570606403245987e-05,0.0003278833170179995,3.4842806800410515
flavin adenine dinucleotide binding GO:0050660,3.355879212073646,12,3.5758140390830775,2.5976615585238596e-05,0.0006254369752445909,3.2038164472536033
glutathione transferase activity GO:0004364,2.574373094193482,10,3.884440846027748,4.178524251204277e-05,0.000934198636162099,3.0295607710748973
membrane microdomain GO:0098857,2.160634561198101,9,4.165442949782947,4.512532337242838e-05,0.0009416150810380055,3.026126594388138
monocarboxylic acid catabolic process GO:0072329,3.6776758488478314,12,3.2629303106633083,7.034902380212947e-05,0.0013762027781291579,2.861317569782065
monocarboxylic acid biosynthetic process GO:0072330,2.574373094193482,9,3.495996761424973,0.00021289453429033082,0.003919764072521973,2.4067400720319223
extracellular region GO:0005576,28.13422024368591,47,1.6705634488145478,0.00027119540352473783,0.004715786739069052,2.3264458431315935
response to xenobiotic stimulus GO:0009410,2.7582568866358734,9,3.2629303106633083,0.0003814786082967999,0.006284358126152545,2.2017390738261855
vitamin B6 binding GO:0070279,1.9307798206451114,7,3.6254781229592314,0.0005750435295795018,0.008999431237919204,2.0457849370094014
mRNA 3'-UTR binding GO:0003730,2.482431197972286,8,3.2226472204082057,0.0007392494565487002,0.011018337138083008,1.957883943256123
carbohydrate transport GO:0008643,2.62034404230408,8,3.0530342088077735,0.001105285511930355,0.015725198419736415,1.8034038659429183
lytic vacuole GO:0000323,7.355351697695663,16,2.175286873775539,0.0011787035027695158,0.016040617233341672,1.7947789243388343
pole plasm GO:0045495,4.321269122396202,11,2.5455484693118007,0.0012612193502731426,0.016448402359812233,1.7838762788698315
oxidoreductase activity acting on CH-OH group of donors GO:0016614,3.355879212073646,9,2.681860529312308,0.001831727084686992,0.02293322310028114,1.6395349040010703
cell surface GO:0009986,5.838310410045932,13,2.2266716030773233,0.002180859386334316,0.026254191843178495,1.5808013456286836
structural constituent of cuticle GO:0042302,7.86103212691224,16,2.0353561392051827,0.002413663565142667,0.027980618366283513,1.553142691913626
nucleoside phosphate binding GO:1901265,63.807675977509874,85,1.3321281287530318,0.003542819305464468,0.03960365866465637,1.402264691234222
sugar transmembrane transporter activity GO:0051119,1.5630122357603284,5,3.1989512849640276,0.004167241948300067,0.044977473441997276,1.3470049442097944
lipid oxidation GO:0034440,2.62034404230408,7,2.671404932706802,0.004379667893593884,0.045694535023162855,1.3401357375933005
