Term,Expected,Observed,Enrichment Fold Change,P value,Q value,logQ
organic acid metabolic process GO:0006082,13.469526395018205,46,3.4151163634835306,2.0016631643249028e-13,6.265205704336946e-11,10.203064665325563
response to biotic stimulus GO:0009607,12.71150110006047,35,2.753412026203066,3.237619850824371e-08,5.066875066540141e-06,5.295259803935327
biological process involved in interspecies interaction between organisms GO:0044419,12.740655919097307,35,2.7471113121842943,3.430408990046516e-08,5.066875066540141e-06,5.295259803935327
defense response GO:0006952,12.769810738134144,35,2.74083936854917,3.6339362253158615e-08,5.066875066540141e-06,5.295259803935327
amino acid biosynthetic process GO:0008652,1.7201343231733206,10,5.813499483896061,9.751479681718485e-07,6.104426280755772e-05,4.214355146593833
immune system process GO:0002376,9.096303539492814,25,2.7483691470341958,2.0889769264066383e-06,0.00010897496299421295,3.962673269788249
iron ion binding GO:0005506,3.527733103457149,13,3.685086036486181,1.266355809950594e-05,0.0005662419550207656,3.2469979552482657
steroid hydroxylase activity GO:0008395,1.1661927614734378,7,6.002438217122683,1.7246094861988985e-05,0.000674753461475319,3.1708548788414355
oxidoreductase activity acting on paired donors with incorporation or reduction of molecular oxygen reduced flavin or flavoprotein as one donor and incorporation of one atom of oxygen GO:0016712,1.1953475805102736,7,5.85603728499774,2.0879652155444205e-05,0.000674753461475319,3.1708548788414355
pole plasm GO:0045495,2.7405529894625786,11,4.0137884734558975,1.9205964196969465e-05,0.000674753461475319,3.1708548788414355
vitamin B6 binding GO:0070279,1.2245023995471096,7,5.716607825831127,2.513393259188575e-05,0.0007151746273872945,3.1455879016242663
structural constituent of cuticle GO:0042302,4.985474055298946,15,3.008740960963751,4.578063433293519e-05,0.0011941115455173928,2.9229551025701475
response to xenobiotic stimulus GO:0009410,1.7492891422101566,7,4.001625478081789,0.00034262820376511024,0.008249432906036885,2.0835759052978284
ribonucleoprotein granule GO:0035770,4.227448760341212,12,2.838591472136835,0.00034749762543323406,0.008249432906036885,2.0835759052978284
lipid catabolic process GO:0016042,4.868854779151603,13,2.6700323976935803,0.00041705863989674626,0.008702623619178772,2.060349798926077
monocarboxylic acid catabolic process GO:0072329,2.3323855229468755,8,3.429964695498676,0.000540257578877818,0.010568788886797315,1.9759747771123122
tetrapyrrole binding GO:0046906,4.635616226856915,12,2.588652600376359,0.0008338743435282811,0.01535309820731482,1.8138039720715393
mRNA 3'-UTR binding GO:0003730,1.5743602279891409,6,3.811071883887418,0.0009477811280822178,0.016480860727207454,1.7830201106416215
defense response to Gram-positive bacterium GO:0050830,2.1866114277626956,7,3.201300382465431,0.0015389397443619074,0.02535200736764616,1.595987647605717
