Term,Expected,Observed,Enrichment Fold Change,P value,Q value,logQ
monoatomic anion transport GO:0006820,1.8901006711409396,3,1.5872170439414115,0.0,0.0,70.0
trans-Golgi network GO:0005802,0.6300335570469798,1,1.5872170439414115,0.0,0.0,70.0
chemical synaptic transmission postsynaptic GO:0099565,1.8901006711409396,3,1.5872170439414115,0.0,0.0,70.0
transporter complex GO:1990351,2.5201342281879193,4,1.5872170439414115,0.0,0.0,70.0
protein localization to extracellular region GO:0071692,0.6300335570469798,1,1.5872170439414115,0.0,0.0,70.0
ATP-dependent activity acting on RNA GO:0008186,1.8901006711409396,3,1.5872170439414115,0.0,0.0,70.0
GTPase binding GO:0051020,0.6300335570469798,1,1.5872170439414115,0.0,0.0,70.0
post-transcriptional gene silencing GO:0016441,1.8901006711409396,3,1.5872170439414115,0.0,0.0,70.0
cilium organization GO:0044782,1.2600671140939597,2,1.5872170439414115,0.0,0.0,70.0
anatomical structure maturation GO:0071695,1.2600671140939597,2,1.5872170439414115,0.0,0.0,70.0
purine nucleoside triphosphate metabolic process GO:0009144,0.6300335570469798,1,1.5872170439414115,0.0,0.0,70.0
GTPase activator activity GO:0005096,1.2600671140939597,2,1.5872170439414115,0.0,0.0,70.0
inorganic ion import across plasma membrane GO:0099587,0.6300335570469798,1,1.5872170439414115,0.0,0.0,70.0
organelle membrane fusion GO:0090174,1.2600671140939597,2,1.5872170439414115,0.0,0.0,70.0
ciliary plasm GO:0097014,0.6300335570469798,1,1.5872170439414115,0.0,0.0,70.0
potassium ion transmembrane transport GO:0071805,1.2600671140939597,2,1.5872170439414115,0.0,0.0,70.0
mating behavior GO:0007617,0.6300335570469798,1,1.5872170439414115,0.0,0.0,70.0
select?qt=standard&fl=idannotation_class_label&version=2.2&wt=json&indent=on&rows=100000&q=id:*&fq=document_category:ontology_class&fq=-is_obsolete:true GO:0090502,1.8901006711409396,3,1.5872170439414115,0.0,0.0,70.0
respirasome GO:0070469,1.8901006711409396,3,1.5872170439414115,0.0,0.0,70.0
cyclic nucleotide metabolic process GO:0009187,0.6300335570469798,1,1.5872170439414115,0.0,0.0,70.0
metalloendopeptidase activity GO:0004222,1.2600671140939597,2,1.5872170439414115,0.0,0.0,70.0
membrane invagination GO:0010324,0.6300335570469798,1,1.5872170439414115,0.0,0.0,70.0
potassium channel activity GO:0005267,0.6300335570469798,1,1.5872170439414115,0.0,0.0,70.0
ciliary basal body GO:0036064,1.2600671140939597,2,1.5872170439414115,0.0,0.0,70.0
postsynaptic membrane GO:0045211,2.5201342281879193,4,1.5872170439414115,0.0,0.0,70.0
NADH dehydrogenase complex GO:0030964,1.2600671140939597,2,1.5872170439414115,0.0,0.0,70.0
non-membrane spanning protein tyrosine kinase activity GO:0004715,1.8901006711409396,3,1.5872170439414115,0.0,0.0,70.0
cytoplasmic side of membrane GO:0098562,0.6300335570469798,1,1.5872170439414115,0.0,0.0,70.0
P-body GO:0000932,0.6300335570469798,1,1.5872170439414115,0.0,0.0,70.0
perikaryon GO:0043204,2.5201342281879193,4,1.5872170439414115,0.0,0.0,70.0
pole plasm GO:0045495,6.930369127516778,11,1.5872170439414115,0.0,0.0,70.0
transcription coactivator activity GO:0003713,0.6300335570469798,1,1.5872170439414115,0.0,0.0,70.0
oocyte differentiation GO:0009994,0.6300335570469798,1,1.5872170439414115,0.0,0.0,70.0
non-motile cilium GO:0097730,0.6300335570469798,1,1.5872170439414115,0.0,0.0,70.0
guanyl-nucleotide exchange factor activity GO:0005085,2.5201342281879193,4,1.5872170439414115,0.0,0.0,70.0
extrinsic component of cytoplasmic side of plasma membrane GO:0031234,0.6300335570469798,1,1.5872170439414115,0.0,0.0,70.0
regulation of extent of cell growth GO:0061387,0.6300335570469798,1,1.5872170439414115,0.0,0.0,70.0
microtubule organizing center organization GO:0031023,1.2600671140939597,2,1.5872170439414115,0.0,0.0,70.0
ATP synthesis coupled electron transport GO:0042773,1.8901006711409396,3,1.5872170439414115,0.0,0.0,70.0
embryonic body morphogenesis GO:0010172,0.6300335570469798,1,1.5872170439414115,0.0,0.0,70.0
serine-type endopeptidase activity GO:0004252,0.6300335570469798,1,1.5872170439414115,0.0,0.0,70.0
neuron development GO:0048666,3.780201342281879,6,1.5872170439414115,0.0,0.0,70.0
homologous recombination GO:0035825,0.6300335570469798,1,1.5872170439414115,0.0,0.0,70.0
maturation of SSU-rRNA GO:0030490,0.6300335570469798,1,1.5872170439414115,0.0,0.0,70.0
oxygen binding GO:0019825,0.6300335570469798,1,1.5872170439414115,0.0,0.0,70.0
segmentation GO:0035282,0.6300335570469798,1,1.5872170439414115,0.0,0.0,70.0
ribonucleoprotein granule GO:0035770,7.560402684563758,12,1.5872170439414115,0.0,0.0,70.0
A band GO:0031672,1.2600671140939597,2,1.5872170439414115,0.0,0.0,70.0
cGMP metabolic process GO:0046068,0.6300335570469798,1,1.5872170439414115,0.0,0.0,70.0
locomotion involved in locomotory behavior GO:0031987,1.2600671140939597,2,1.5872170439414115,0.0,0.0,70.0
serine hydrolase activity GO:0017171,0.6300335570469798,1,1.5872170439414115,0.0,0.0,70.0
external encapsulating structure GO:0030312,1.8901006711409396,3,1.5872170439414115,0.0,0.0,70.0
egg-laying behavior GO:0018991,1.8901006711409396,3,1.5872170439414115,0.0,0.0,70.0
recombinational repair GO:0000725,0.6300335570469798,1,1.5872170439414115,0.0,0.0,70.0
extracellular structure organization GO:0043062,0.6300335570469798,1,1.5872170439414115,0.0,0.0,70.0
microtubule-based transport GO:0099111,0.6300335570469798,1,1.5872170439414115,0.0,0.0,70.0
structural constituent of chromatin GO:0030527,2.5201342281879193,4,1.5872170439414115,0.0,0.0,70.0
meiotic cell cycle GO:0051321,3.780201342281879,6,1.5872170439414115,0.0,0.0,70.0
adherens junction GO:0005912,1.8901006711409396,3,1.5872170439414115,0.0,0.0,70.0
RNA splicing via transesterification reactions GO:0000375,2.5201342281879193,4,1.5872170439414115,0.0,0.0,70.0
embryonic digestive tract development GO:0048566,0.6300335570469798,1,1.5872170439414115,0.0,0.0,70.0
molecular adaptor activity GO:0060090,1.8901006711409396,3,1.5872170439414115,0.0,0.0,70.0
