Term,Expected,Observed,Enrichment Fold Change,P value,Q value,logQ
response to biotic stimulus GO:0009607,11.084154760825356,76,6.856634686174377,4.1675106186346e-41,1.187740526310861e-38,37.92527842492671
biological process involved in interspecies interaction between organisms GO:0044419,11.110863567477947,76,6.840152391255689,4.983827715934983e-41,1.187740526310861e-38,37.92527842492671
defense response GO:0006952,11.137572374130539,76,6.823749148111191,5.956796295523793e-41,1.187740526310861e-38,37.92527842492671
immune system process GO:0002376,7.825680349209228,62,7.922633845664933,7.609245955242696e-38,5.4215877431104205e-36,35.26587350920098
organic acid metabolic process GO:0006082,12.312759866844553,59,4.79177703764641,7.636315817609422e-24,4.35270001603737e-22,21.361241262975604
amino acid biosynthetic process GO:0008652,1.6025283991554733,13,8.112180730682185,4.942345320197143e-10,2.3476140270936428e-08,7.629373304222714
defense response to Gram-positive bacterium GO:0050830,1.9764516922917503,14,7.0834010538181245,9.90667828700285e-10,4.033433302565446e-08,7.394325120217801
flavin adenine dinucleotide binding GO:0050660,2.029869305596933,12,5.911710653938434,1.0820179479230212e-07,3.8546889394757635e-06,5.414010662313361
iron ion binding GO:0005506,3.28518321826872,14,4.261558357581636,1.1207396702670513e-06,3.5490089558456626e-05,4.449892904718498
tetrapyrrole binding GO:0046906,4.246700257762004,16,3.7676311085896943,1.4411301475724651e-06,4.107220920581526e-05,4.3864519365402845
monocarboxylic acid biosynthetic process GO:0072330,1.4689843658925172,8,5.445939511506921,1.4276085312478451e-05,0.0003698803921869417,3.4319386905573275
oxidoreductase activity acting on CH-OH group of donors GO:0016614,1.8963252723339767,9,4.74602122921818,1.8956360672950005e-05,0.0004502135659825626,3.346581422834825
lipid catabolic process GO:0016042,4.433661904330142,14,3.1576607107382006,4.387292099735549e-05,0.0009618294218651011,3.016901942215189
monocarboxylic acid catabolic process GO:0072329,2.1367045322072977,9,4.212093840931135,5.441067833601179e-05,0.00110764595184024,2.955599035396052
steroid hydroxylase activity GO:0008395,1.0683522661036489,6,5.616125121241513,8.262689210123467e-05,0.0015699109499234588,2.8041249813829228
oxidoreductase activity acting on paired donors with incorporation or reduction of molecular oxygen reduced flavin or flavoprotein as one donor and incorporation of one atom of oxygen GO:0016712,1.09506107275624,6,5.479146459747818,9.734755615395873e-05,0.00173400334399239,2.7609500693303723
lytic vacuole GO:0000323,3.7125241247101797,12,3.2323022280526694,9.77322752813812e-05,0.00173400334399239,2.7609500693303723
membrane microdomain GO:0098857,1.2553139126717874,6,4.7796809542480965,0.00023690153954205193,0.0037509410427491556,2.4258597620316116
sugar transmembrane transporter activity GO:0051119,0.9615170394932839,5,5.200115853001401,0.0003529429721718305,0.005294144582577457,2.2762042023323383
lipid oxidation GO:0034440,1.4155667525873348,6,4.2385849971634055,0.0005052963199729027,0.007200472559613863,2.1426390003328972
ribose phosphate metabolic process GO:0019693,4.433661904330142,12,2.706566323489886,0.0005593992974549122,0.007591847608316665,2.1196525181165122
nucleoside phosphate metabolic process GO:0006753,5.635558203696747,14,2.484225962002565,0.0006090785705616424,0.007890336027730368,2.1029045009881036
vitamin B6 binding GO:0070279,1.09506107275624,5,4.565955383123182,0.0007272894893852821,0.00901206541194806,2.0451756647128545
cuticle development GO:0042335,1.5224019791976995,6,3.941140435958957,0.0007901620423087401,0.00901206541194806,2.0451756647128545
structural constituent of cuticle GO:0042302,4.567205937593099,12,2.627426957305971,0.0007390247802044327,0.00901206541194806,2.0451756647128545
response to xenobiotic stimulus GO:0009410,1.6025283991554733,6,3.7440834141610084,0.001077057777409914,0.011806210252377903,1.927889486858136
carbohydrate transport GO:0008643,1.6292372058080644,6,3.6827049975354185,0.0011889534498277907,0.012550064192626678,1.9013540527939194
cell death GO:0008219,6.2498607567063456,14,2.240049905908296,0.001721618935265548,0.01752362130538147,1.756376140723275
organic acid binding GO:0043177,0.9348082328406927,4,4.278952473326867,0.0022537552216256316,0.022148973729769136,1.654646391961176
protein localization to mitochondrion GO:0070585,1.0149346527984664,4,3.9411404359589564,0.0032624193885605842,0.03099298419132555,1.5087366052570248
cell surface GO:0009986,3.3118920249213115,8,2.4155376865554894,0.006218066495855207,0.057166095203830126,1.2428614717588966
nucleoside phosphate binding GO:1901265,35.73638330116705,50,1.3991343102245923,0.008036854358132646,0.07157823412711888,1.1452190200883443
response to topologically incorrect protein GO:0035966,5.5020141704337915,11,1.99926784251316,0.009884109709244764,0.08536276567075024,1.0687315226359777
