Term,Expected,Observed,Enrichment Fold Change,P value,Q value,logQ
oxidoreductase activity acting on CH-OH group of donors GO:0016614,5.189597315436242,9,1.7342386032977692,0.0,0.0,70.0
IRE1-mediated unfolded protein response GO:0036498,4.036353467561521,7,1.7342386032977692,0.0,0.0,70.0
protein-folding chaperone binding GO:0051087,1.7298657718120805,3,1.7342386032977692,0.0,0.0,70.0
transferase activity transferring one-carbon groups GO:0016741,5.766219239373601,10,1.7342386032977692,0.0,0.0,70.0
late endosome membrane GO:0031902,1.7298657718120805,3,1.7342386032977692,0.0,0.0,70.0
pharynx development GO:0060465,1.7298657718120805,3,1.7342386032977692,0.0,0.0,70.0
protein complex oligomerization GO:0051259,1.7298657718120805,3,1.7342386032977692,0.0,0.0,70.0
outer membrane GO:0019867,1.7298657718120805,3,1.7342386032977692,0.0,0.0,70.0
trans-Golgi network GO:0005802,0.5766219239373602,1,1.734238603297769,0.0,0.0,70.0
DNA-binding transcription factor binding GO:0140297,1.1532438478747205,2,1.734238603297769,0.0,0.0,70.0
inorganic ion import across plasma membrane GO:0099587,0.5766219239373602,1,1.734238603297769,0.0,0.0,70.0
amino acid transport GO:0006865,0.5766219239373602,1,1.734238603297769,0.0,0.0,70.0
monocarboxylic acid biosynthetic process GO:0072330,4.612975391498882,8,1.734238603297769,0.0,0.0,70.0
potassium ion transmembrane transport GO:0071805,1.1532438478747205,2,1.734238603297769,0.0,0.0,70.0
structural constituent of ribosome GO:0003735,0.5766219239373602,1,1.734238603297769,0.0,0.0,70.0
mitochondrial outer membrane GO:0005741,1.1532438478747205,2,1.734238603297769,0.0,0.0,70.0
protein localization to mitochondrion GO:0070585,2.306487695749441,4,1.734238603297769,0.0,0.0,70.0
single-stranded DNA binding GO:0003697,0.5766219239373602,1,1.734238603297769,0.0,0.0,70.0
magnesium ion binding GO:0000287,1.1532438478747205,2,1.734238603297769,0.0,0.0,70.0
Golgi stack GO:0005795,0.5766219239373602,1,1.734238603297769,0.0,0.0,70.0
gonad morphogenesis GO:0035262,0.5766219239373602,1,1.734238603297769,0.0,0.0,70.0
metal cluster binding GO:0051540,1.1532438478747205,2,1.734238603297769,0.0,0.0,70.0
negative regulation of gene expression epigenetic GO:0045814,0.5766219239373602,1,1.734238603297769,0.0,0.0,70.0
sodium channel activity GO:0005272,1.1532438478747205,2,1.734238603297769,0.0,0.0,70.0
purine nucleoside triphosphate metabolic process GO:0009144,0.5766219239373602,1,1.734238603297769,0.0,0.0,70.0
Notch signaling pathway GO:0007219,0.5766219239373602,1,1.734238603297769,0.0,0.0,70.0
RNA localization GO:0006403,0.5766219239373602,1,1.734238603297769,0.0,0.0,70.0
calcium ion transport GO:0006816,0.5766219239373602,1,1.734238603297769,0.0,0.0,70.0
nucleus localization GO:0051647,0.5766219239373602,1,1.734238603297769,0.0,0.0,70.0
potassium channel activity GO:0005267,0.5766219239373602,1,1.734238603297769,0.0,0.0,70.0
unfolded protein binding GO:0051082,2.306487695749441,4,1.734238603297769,0.0,0.0,70.0
extracellular structure organization GO:0043062,0.5766219239373602,1,1.734238603297769,0.0,0.0,70.0
calmodulin binding GO:0005516,0.5766219239373602,1,1.734238603297769,0.0,0.0,70.0
deubiquitinase activity GO:0101005,0.5766219239373602,1,1.734238603297769,0.0,0.0,70.0
cellular response to external stimulus GO:0071496,1.1532438478747205,2,1.734238603297769,0.0,0.0,70.0
immune system process GO:0002376,38.057046979865774,62,1.6291332334009345,2.237005291675653e-12,1.7709625225765587e-11,10.75179062932964
defense response GO:0006952,49.01286353467562,76,1.5506133394191817,1.4171211690152314e-11,1.0915663058630837e-10,9.961949878465296
response to biotic stimulus GO:0009607,49.01286353467562,76,1.5506133394191817,1.4171211690152314e-11,1.0915663058630837e-10,9.961949878465296
biological process involved in interspecies interaction between organisms GO:0044419,49.01286353467562,76,1.5506133394191817,1.4171211690152314e-11,1.0915663058630837e-10,9.961949878465296
organic acid metabolic process GO:0006082,42.09340044742729,59,1.4016448985557313,6.29064516665046e-06,4.4820846812384525e-05,4.348519942480305
flavin adenine dinucleotide binding GO:0050660,7.4960850111856825,12,1.6008356338133254,0.0007666680701350391,0.005329278048499662,2.273331620389801
response to topologically incorrect protein GO:0035966,6.919463087248322,11,1.5897187196896219,0.0013328804887615998,0.009044546173739428,2.043613219758883
amino acid biosynthetic process GO:0008652,8.649328859060402,13,1.5030067895247334,0.0030644684597393194,0.020311011884318747,1.6922684397252257
biosynthetic process GO:0009058,50.742729306487696,62,1.221849925050701,0.004474936628014643,0.028985384976913033,1.5378209270600312
ribose phosphate metabolic process GO:0019693,8.072706935123042,12,1.486490231398088,0.005001739907462527,0.031677686080596,1.4992465492773193
defense response to Gram-positive bacterium GO:0050830,9.802572706935123,14,1.4281964968334568,0.007366733853433797,0.04564172061366592,1.3406379917968696
methylation GO:0032259,4.612975391498882,7,1.517458777885548,0.01215143682254431,0.07368424456223678,1.1326253646670368
