Term,Expected,Observed,Enrichment Fold Change,P value,Q value,logQ
organic acid metabolic process GO:0006082,13.350642666906836,46,3.445527016764773,1.462531315161841e-13,4.5777230164565624e-11,10.339350488652231
response to biotic stimulus GO:0009607,12.599307798206452,34,2.6985609483117794,8.034185777673992e-08,1.2573500742059797e-05,4.9005437882416905
biological process involved in interspecies interaction between organisms GO:0044419,12.628205293156466,34,2.6923857516337204,8.493828860775976e-08,1.2573500742059797e-05,4.9005437882416905
defense response GO:0006952,12.657102788106481,34,2.686238752200767,8.97799189733453e-08,1.2573500742059797e-05,4.9005437882416905
amino acid biosynthetic process GO:0008652,1.704952202050873,10,5.865267066121316,8.945967829189592e-07,5.600175861072685e-05,4.251798334726972
immune system process GO:0002376,9.016018424404617,24,2.661928899239674,5.561395488788408e-06,0.00029011946466512856,3.537423132579363
iron ion binding GO:0005506,3.49659688895179,13,3.7179006939793795,1.1476084246617564e-05,0.000513144909884471,3.289759974700502
steroid hydroxylase activity GO:0008395,1.1558997980005918,7,6.055888245770258,1.6183362230350354e-05,0.0006331740472624575,3.1984768944440694
oxidoreductase activity acting on paired donors with incorporation or reduction of molecular oxygen reduced flavin or flavoprotein as one donor and incorporation of one atom of oxygen GO:0016712,1.1847972929506065,7,5.908183654410008,1.959750626058694e-05,0.0006331740472624575,3.1984768944440694
pole plasm GO:0045495,2.716364525301391,11,4.049530133949717,1.7606853473597768e-05,0.0006331740472624575,3.1984768944440694
vitamin B6 binding GO:0070279,1.2136947879006215,7,5.767512615019293,2.359595088887687e-05,0.000671412057110769,3.1730108640268537
structural constituent of cuticle GO:0042302,4.94147163645253,15,3.035532955273313,4.124080929377112e-05,0.0010756977757458634,2.96830972937829
response to xenobiotic stimulus GO:0009410,1.7338496970008879,7,4.0372588305135055,0.0003229802995020836,0.007693454883407906,2.113878588696586
ribonucleoprotein granule GO:0035770,4.190136767752145,12,2.863868332975098,0.00031953646480607914,0.007693454883407906,2.113878588696586
lipid catabolic process GO:0016042,4.825881656652471,13,2.6938082872545204,0.00038207722739561686,0.007972678144988539,2.0983957679117666
monocarboxylic acid catabolic process GO:0072329,2.3117995960011837,8,3.4605075690115763,0.0005070605417193467,0.00991937184738472,2.0035158290405968
tetrapyrrole binding GO:0046906,4.594701697052352,12,2.6117038256691143,0.0007692703887666331,0.01416362539317389,1.8488255682051504
mRNA 3'-UTR binding GO:0003730,1.560464727300799,6,3.8450084100128623,0.0009001946796219354,0.015653385262314766,1.8053917257369605
defense response to Gram-positive bacterium GO:0050830,2.1673121212511095,7,3.229807064410805,0.001455564192785516,0.023978504860098237,1.6201779001050838
