Term,Expected,Observed,Enrichment Fold Change,P value,Q value,logQ
monoatomic anion transport GO:0006820,1.8733221476510067,3,1.6014330497089118,0.0,0.0,70.0
trans-Golgi network GO:0005802,0.6244407158836689,1,1.6014330497089118,0.0,0.0,70.0
protein serine kinase activity GO:0106310,3.1222035794183447,5,1.6014330497089118,0.0,0.0,70.0
chemical synaptic transmission postsynaptic GO:0099565,1.8733221476510067,3,1.6014330497089118,0.0,0.0,70.0
transporter complex GO:1990351,2.4977628635346756,4,1.6014330497089118,0.0,0.0,70.0
protein localization to extracellular region GO:0071692,0.6244407158836689,1,1.6014330497089118,0.0,0.0,70.0
ATP-dependent activity acting on RNA GO:0008186,1.8733221476510067,3,1.6014330497089118,0.0,0.0,70.0
GTPase binding GO:0051020,0.6244407158836689,1,1.6014330497089118,0.0,0.0,70.0
post-transcriptional gene silencing GO:0016441,1.8733221476510067,3,1.6014330497089118,0.0,0.0,70.0
cilium organization GO:0044782,1.2488814317673378,2,1.6014330497089118,0.0,0.0,70.0
anatomical structure maturation GO:0071695,1.2488814317673378,2,1.6014330497089118,0.0,0.0,70.0
vitamin B6 binding GO:0070279,4.3710850111856825,7,1.6014330497089118,0.0,0.0,70.0
actin binding GO:0003779,3.1222035794183447,5,1.6014330497089118,0.0,0.0,70.0
purine nucleoside triphosphate metabolic process GO:0009144,0.6244407158836689,1,1.6014330497089118,0.0,0.0,70.0
GTPase activator activity GO:0005096,1.2488814317673378,2,1.6014330497089118,0.0,0.0,70.0
ATP synthesis coupled electron transport GO:0042773,1.8733221476510067,3,1.6014330497089118,0.0,0.0,70.0
organelle membrane fusion GO:0090174,1.2488814317673378,2,1.6014330497089118,0.0,0.0,70.0
cyclic nucleotide metabolic process GO:0009187,0.6244407158836689,1,1.6014330497089118,0.0,0.0,70.0
regulation of extent of cell growth GO:0061387,0.6244407158836689,1,1.6014330497089118,0.0,0.0,70.0
mating behavior GO:0007617,0.6244407158836689,1,1.6014330497089118,0.0,0.0,70.0
potassium ion transmembrane transport GO:0071805,1.2488814317673378,2,1.6014330497089118,0.0,0.0,70.0
extrinsic component of cytoplasmic side of plasma membrane GO:0031234,0.6244407158836689,1,1.6014330497089118,0.0,0.0,70.0
RNA splicing via transesterification reactions GO:0000375,2.4977628635346756,4,1.6014330497089118,0.0,0.0,70.0
inorganic ion import across plasma membrane GO:0099587,0.6244407158836689,1,1.6014330497089118,0.0,0.0,70.0
membrane invagination GO:0010324,0.6244407158836689,1,1.6014330497089118,0.0,0.0,70.0
non-membrane spanning protein tyrosine kinase activity GO:0004715,1.8733221476510067,3,1.6014330497089118,0.0,0.0,70.0
potassium channel activity GO:0005267,0.6244407158836689,1,1.6014330497089118,0.0,0.0,70.0
ciliary basal body GO:0036064,1.2488814317673378,2,1.6014330497089118,0.0,0.0,70.0
perikaryon GO:0043204,2.4977628635346756,4,1.6014330497089118,0.0,0.0,70.0
postsynaptic membrane GO:0045211,2.4977628635346756,4,1.6014330497089118,0.0,0.0,70.0
pole plasm GO:0045495,6.868847874720358,11,1.6014330497089118,0.0,0.0,70.0
NADH dehydrogenase complex GO:0030964,1.2488814317673378,2,1.6014330497089118,0.0,0.0,70.0
cytoplasmic side of membrane GO:0098562,0.6244407158836689,1,1.6014330497089118,0.0,0.0,70.0
P-body GO:0000932,0.6244407158836689,1,1.6014330497089118,0.0,0.0,70.0
transcription coactivator activity GO:0003713,0.6244407158836689,1,1.6014330497089118,0.0,0.0,70.0
oocyte differentiation GO:0009994,0.6244407158836689,1,1.6014330497089118,0.0,0.0,70.0
non-motile cilium GO:0097730,0.6244407158836689,1,1.6014330497089118,0.0,0.0,70.0
