Term,Expected,Observed,Enrichment Fold Change,P value,Q value,logQ
response to biotic stimulus GO:0009607,3.8165615325829307,33,8.646526387239097,8.752646912381332e-22,2.4945043700286796e-19,18.603015730899912
biological process involved in interspecies interaction between organisms GO:0044419,3.8257580663963835,33,8.625741468039003,9.450415677816919e-22,2.4945043700286796e-19,18.603015730899912
defense response GO:0006952,3.8349546002098363,33,8.605056236700781,1.0201633372940015e-21,2.4945043700286796e-19,18.603015730899912
immune system process GO:0002376,2.694584407341684,26,9.648983319713501,6.981534531468647e-19,4.974343353671411e-17,16.303264240887888
organic acid metabolic process GO:0006082,4.239602088001762,24,5.660908618740643,2.5026648090385926e-12,1.4265189411519978e-10,9.845722457457182
steroid hydroxylase activity GO:0008395,0.3678613525381138,6,16.31049295774648,7.739110197576827e-08,3.676077343848993e-06,5.434615359730578
oxidoreductase activity acting on paired donors with incorporation or reduction of molecular oxygen reduced flavin or flavoprotein as one donor and incorporation of one atom of oxygen GO:0016712,0.3770578863515667,6,15.912676056338027,9.258384060477785e-08,3.7694849389088124e-06,5.423717987585026
iron ion binding GO:0005506,1.1311736590547,9,7.956338028169014,2.3995576965772907e-07,8.548424294056598e-06,5.068113930121164
tetrapyrrole binding GO:0046906,1.4622488763390025,10,6.838781114359111,3.1127731387152365e-07,9.857114939264916e-06,5.0062501793086325
defense response to Gram-positive bacterium GO:0050830,0.6805435021955105,7,10.285896459840123,4.3469679327782194e-07,1.2388858608417926e-05,4.906968703543196
response to xenobiotic stimulus GO:0009410,0.5517920288071707,6,10.873661971830986,1.3672515605117511e-06,3.542424497689537e-05,4.450699397421008
oxidoreductase activity acting on CH-OH group of donors GO:0016614,0.652953900755152,6,9.189010117040269,4.314150119898653e-06,0.00010246106534759301,3.989441132822594
structural constituent of cuticle GO:0042302,1.5726072821004364,9,5.722979985174203,4.860259307134979e-06,0.0001065518386564207,3.9724390517081276
cuticle development GO:0042335,0.5242024273668122,5,9.538299975290338,1.4430050558733934e-05,0.0002937546006599408,3.532015322931002
sugar transmembrane transporter activity GO:0051119,0.33107521728430245,4,12.08184663536776,1.9313302544780315e-05,0.000366952748350826,3.435389855234748
lytic vacuole GO:0000323,1.2783182000699456,7,5.475944877900496,4.815164055101691e-05,0.0008577010973149887,3.0666640342997074
membrane microdomain GO:0098857,0.4322370892322837,4,9.254180401558287,7.229691762098048e-05,0.0012120365601164375,2.916484279825382
flavin adenine dinucleotide binding GO:0050660,0.6989365698224163,5,7.153724981467754,7.500001729227863e-05,0.0012120365601164375,2.916484279825382
carbohydrate transport GO:0008643,0.5609885626206236,4,7.130270145462942,0.0002522362280019787,0.0037835434200296806,2.4221012776945394
monocarboxylic acid catabolic process GO:0072329,0.7357227050762276,4,5.436830985915493,0.0008833914902486473,0.012588328736043224,1.9000319242919117
collagen trimer GO:0005581,1.5818038159138894,6,3.793137897150344,0.0011424872204159285,0.015505183705644745,1.809523083868759
monocarboxylic acid biosynthetic process GO:0072330,0.5058093597399065,3,5.931088348271447,0.0016683236423142927,0.021612374457253336,1.665297516456273
amino acid biosynthetic process GO:0008652,0.5517920288071707,3,5.436830985915493,0.002300742786919975,0.028509204098790996,1.5450149068690058
lipid catabolic process GO:0016042,1.5266246130331722,5,3.275199389105719,0.004552180321774021,0.054057141321066496,1.2671469246253222
microbody GO:0042579,0.7081331036358691,3,4.236491677336748,0.0056498072673153085,0.06440780284739452,1.1910615157412765
transporter activity GO:0005215,9.178140745825939,17,1.852226989189647,0.005865774969376053,0.06440780284739452,1.1910615157412765
