Term,Expected,Observed,Enrichment Fold Change,P value,Q value,logQ
IRE1-mediated unfolded protein response GO:0036498,3.2259507829977627,7,2.1699029126213594,0.0,0.0,70.0
protein-folding chaperone binding GO:0051087,1.3825503355704698,3,2.1699029126213594,0.0,0.0,70.0
late endosome membrane GO:0031902,1.3825503355704698,3,2.1699029126213594,0.0,0.0,70.0
metal cluster binding GO:0051540,0.9217002237136466,2,2.169902912621359,0.0,0.0,70.0
negative regulation of gene expression epigenetic GO:0045814,0.4608501118568233,1,2.169902912621359,0.0,0.0,70.0
magnesium ion binding GO:0000287,0.9217002237136466,2,2.169902912621359,0.0,0.0,70.0
gonad morphogenesis GO:0035262,0.4608501118568233,1,2.169902912621359,0.0,0.0,70.0
structural constituent of ribosome GO:0003735,0.4608501118568233,1,2.169902912621359,0.0,0.0,70.0
transferase activity transferring one-carbon groups GO:0016741,4.608501118568233,10,2.169902912621359,0.0,0.0,70.0
inorganic ion import across plasma membrane GO:0099587,0.4608501118568233,1,2.169902912621359,0.0,0.0,70.0
protein localization to mitochondrion GO:0070585,1.8434004474272931,4,2.169902912621359,0.0,0.0,70.0
calmodulin binding GO:0005516,0.4608501118568233,1,2.169902912621359,0.0,0.0,70.0
Notch signaling pathway GO:0007219,0.4608501118568233,1,2.169902912621359,0.0,0.0,70.0
unfolded protein binding GO:0051082,1.8434004474272931,4,2.169902912621359,0.0,0.0,70.0
single-stranded DNA binding GO:0003697,0.4608501118568233,1,2.169902912621359,0.0,0.0,70.0
trans-Golgi network GO:0005802,0.4608501118568233,1,2.169902912621359,0.0,0.0,70.0
nucleus localization GO:0051647,0.4608501118568233,1,2.169902912621359,0.0,0.0,70.0
DNA-binding transcription factor binding GO:0140297,0.9217002237136466,2,2.169902912621359,0.0,0.0,70.0
purine nucleoside triphosphate metabolic process GO:0009144,0.4608501118568233,1,2.169902912621359,0.0,0.0,70.0
extracellular structure organization GO:0043062,0.4608501118568233,1,2.169902912621359,0.0,0.0,70.0
RNA localization GO:0006403,0.4608501118568233,1,2.169902912621359,0.0,0.0,70.0
immune system process GO:0002376,30.416107382550337,56,1.8411297440423653,7.307825023935823e-12,9.466955144644135e-11,10.023789680607317
response to biotic stimulus GO:0009607,39.17225950782998,68,1.7359223300970874,1.8233236075341092e-11,2.2593357745531353e-10,9.64601922096142
defense response GO:0006952,39.17225950782998,68,1.7359223300970874,1.8233236075341092e-11,2.2593357745531353e-10,9.64601922096142
biological process involved in interspecies interaction between organisms GO:0044419,39.17225950782998,68,1.7359223300970874,1.8233236075341092e-11,2.2593357745531353e-10,9.64601922096142
flavin adenine dinucleotide binding GO:0050660,5.991051454138702,12,2.002987303958178,4.12242363521626e-05,0.00045188105232178233,3.3449758685484476
response to topologically incorrect protein GO:0035966,5.530201342281879,11,1.9890776699029127,8.980634374028572e-05,0.0009479558505919049,3.023211888707084
methylation GO:0032259,3.6868008948545863,7,1.8986650485436893,0.0020159997088763926,0.02051999703677757,1.6878227062751943
biosynthetic process GO:0009058,40.55480984340045,53,1.3068733451015004,0.002538861019513637,0.024950875536599536,1.6029142101992124
ribose phosphate metabolic process GO:0019693,6.4519015659955254,11,1.7049237170596394,0.0027222393542836003,0.0258612738656942,1.5873500866011787
lipid oxidation GO:0034440,3.2259507829977627,6,1.8599167822468794,0.004384584375977968,0.040309888617861965,1.3945884018646804
organic acid metabolic process GO:0006082,33.6420581655481,44,1.3078866870594494,0.005010561988249694,0.04462531770784884,1.3504186789296229
nucleoside phosphate metabolic process GO:0006753,8.295302013422818,13,1.5671521035598708,0.006281650631187455,0.054250619087528026,1.2655953014469328
microbody GO:0042579,2.7651006711409396,5,1.808252427184466,0.009532866152400336,0.07990784863041459,1.0974105617438914
monocarboxylic acid catabolic process GO:0072329,5.530201342281879,9,1.6274271844660193,0.009571587529923337,0.07990784863041459,1.0974105617438914
defense response to Gram-positive bacterium GO:0050830,7.834451901565996,12,1.5316961736150772,0.010822642329071758,0.0856792517718181,1.0671243348091313
