wbps_gene_id,wormbase_gseq,wikigene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
WBGene00000003,F07C3.7,aat-2,92.07500156089007,0.8783939004627284,0.752008579222767,0.02028660540443778,0.08512537565540321
WBGene00000006,C55C2.5,aat-5,128.58453824982857,1.5339203335093885,0.4588657209826899,5.871913550484269e-5,0.0014875858318142484
WBGene00000019,C24F3.5,abt-1,29.503203711600275,1.3902834308418688,1.8610589253464727,0.013138167981552649,0.06485845597742515
WBGene00000027,Y5H2A.3,abu-4,8.907104347725602,1.4864182625639268,2.261937103468865,0.009774485556214312,0.05359274396327963
WBGene00000033,F35A5.3,abu-10,150.25915874588947,2.7447770908980167,2.3241407922063724,0.0019126463243806782,0.01778761081674031
WBGene00000060,F27B3.2,acr-21,4.157771310559943,1.2535175445587066,1.9436544143055126,0.016134115856076898,0.07369242080651094
WBGene00000063,T04C12.6,act-1,4076.2560373366236,1.1465949806827953,0.44433439863049656,4.64519739879409e-4,0.006579077433643685
WBGene00000064,T04C12.5,act-2,4296.798891803619,1.397511746570564,0.3738223346337786,1.635410224700722e-5,5.763921366518559e-4
WBGene00000065,T04C12.4,act-3,4308.525778843226,1.450017037016847,0.3850820385077021,1.5458196869732925e-5,5.474936311479118e-4
WBGene00000066,M03F4.2,act-4,13221.438898162947,1.3665876609871388,0.391630452860346,3.591500130625182e-5,0.0010525208260389236
WBGene00000112,F56D12.1,alh-6,947.603986705368,0.7976487016153697,0.37074095470676677,0.0016603665731190465,0.016326182913718318
WBGene00000115,F01F1.6,alh-9,1116.4448503799795,1.5176683174861922,0.4063777307708534,1.7496149041252592e-5,6.077276829630268e-4
WBGene00000138,B0019.1,amx-2,146.07427679571174,1.3564425544437928,0.7360443184817523,0.00264870363291516,0.022263010418934127
WBGene00000168,K08D9.3,apx-1,115.57773334919776,1.1790787725531746,0.6708226355371834,0.0038311507538195365,0.02857011801154093
WBGene00000175,M02F4.8,aqp-7,754.4942108625419,0.5592900001899538,0.40109634725671856,0.021076007067736477,0.08727682903804118
WBGene00000176,K02G10.7,aqp-8,265.8549891669379,1.6885907431327336,0.5976217584718269,2.1280691751021026e-4,0.0038683628195582353
WBGene00000211,B0252.2,asm-1,56.21981831422801,1.1511696948748709,0.6769582985564448,0.00448173581420299,0.03193485999097188
WBGene00000225,C38C6.2,atgp-2,207.10052219174307,1.3737327608245264,0.5486164031647313,5.711597372354842e-4,0.007644631023444293
WBGene00000226,T06E4.3,atl-1,818.3930792961634,0.992502734163148,0.23531268765841276,1.0446200978788027e-6,5.999282354949379e-5
WBGene00000228,W04D2.1,atn-1,2204.743634509681,1.351952077854299,0.402506882686682,5.34156982448372e-5,0.0014050862959841756
WBGene00000232,B0207.12,avr-14,47.93977934458944,0.8973659744187831,0.6796140991341872,0.014276037517575531,0.06833442595074597
WBGene00000233,R11G10.1,avr-15,52.5737694793344,3.286629853240783,0.8857444543296549,1.6580179196405284e-6,8.951433824576111e-5
WBGene00000248,C54C6.2,ben-1,264.1662849142735,1.2174665958606825,0.5853856821838838,0.0017377565061312734,0.016809293364085834
WBGene00000251,C09G5.6,bli-1,1859.1920178804796,14.141080986398062,1.7729246078772976,6.08235258289161e-21,4.870950693465698e-18
WBGene00000252,F59E12.12,bli-2,1015.8786267101127,5.524563912292387,1.0703424036184896,1.1535443196082558e-8,1.2502512306130082e-6
WBGene00000254,K04F10.4,bli-4,2344.648541102352,0.8181991628256451,0.2936729195359299,2.07008201607583e-4,0.0037964672088718946
WBGene00000255,F45G2.5,bli-5,48.99774932311056,1.0038152707798025,0.600084086206817,0.005482010404654696,0.036806325096924754
WBGene00000256,Y73B6BL.34,bli-6,714.4032154193915,5.432642159593852,4.257077280606948,1.128720029576278e-4,0.0023822107212799486
WBGene00000273,Y79H2A.1,brp-1,1462.8717518751503,0.5816017891128762,0.4203151131373068,0.020428204971071257,0.08550307045818588
WBGene00000279,F54D8.4,cah-1,19.708949638885557,1.9920619187124944,1.2133334540837113,0.0016653872977823658,0.016353241074613625
WBGene00000285,C13C12.1,cal-1,72.89054026295572,1.2157184952887408,0.7969929247065215,0.00601820121758437,0.03912488765318872
WBGene00000286,C18E9.1,cal-2,61.59329895050455,1.538620315879069,0.6351477586185879,6.259238045201879e-4,0.008165331802858378
WBGene00000288,T07G12.1,cal-4,40.746054293833474,0.8699193135911708,0.7631660714258457,0.021746277199602287,0.08886113319497814
WBGene00000298,F32G8.6,cat-4,2445.26695861521,3.504707765633475,0.5804768950735839,8.319480058412618e-12,1.965988607246195e-9
WBGene00000367,C54D2.5,cca-1,201.83545629822493,0.7129427959144812,0.567573130921215,0.021729442693081504,0.0888595507576652
WBGene00000368,T28F2.5,ccb-1,170.74856192947476,0.612456832223347,0.3688532024905866,0.009376277565547783,0.05202426524533152
WBGene00000370,Y73F8A.6,ccg-1,962.1456870904292,0.9966610086222931,0.443829356588278,0.001176057760581786,0.012901729542455439
WBGene00000386,K06A5.7,cdc-25.1,582.4653185747808,0.554012658050989,0.3083745854639399,0.00788185172434507,0.046634865817261784
WBGene00000395,ZK112.7,cdh-3,126.4974784652203,2.1172090475823944,0.8995833190098178,3.521091256699491e-4,0.005473363650611849
WBGene00000396,F25F2.2,cdh-4,470.7734399396283,1.2507150724538607,0.33174116137503695,1.222773511211415e-5,4.5782545880811815e-4
WBGene00000403,B0034.3,casy-1,477.1772066040804,1.9983124226861884,0.4458333766232345,6.776838714034547e-7,4.2106952613279315e-5
WBGene00000441,ZC64.3,ceh-18,211.10222207243132,0.808922108476941,0.4523146953425776,0.004749769211358517,0.033382702672712344
WBGene00000447,F55B12.1,ceh-24,5.148673577406755,1.0825827641936943,1.793281993488102,0.022659393841617484,0.09118792915324289
WBGene00000465,C07G2.1,cpg-1,324.3884237764592,1.4471835926353842,0.45550283815558434,9.480085821655799e-5,0.0020991618605094983
WBGene00000467,F52B5.5,cep-1,217.68658539727082,0.9133451120875191,0.484133913521596,0.0033319385032993345,0.026046580002743982
WBGene00000473,F46F11.2,cey-2,865.6164540240665,1.0614886086531221,0.48375055675695006,0.0013539675930511706,0.014246308652432572
WBGene00000474,M01E11.5,cey-3,853.9186939790316,0.8867691763295915,0.41646168063568434,0.0016843751951115414,0.016450046366892186
WBGene00000481,ZC416.8,cha-1,32.8452340062905,2.2529499163633004,1.031618176139452,4.237762410347865e-4,0.006209868868666159
WBGene00000496,T25G3.2,chs-1,113.34282226264621,0.6210178335546429,0.48658445836818226,0.024345770368363388,0.0958602239442661
WBGene00000499,Y60A3A.12,chk-2,99.70416106581834,2.1673884249752473,0.616435810554626,1.6681788025007256e-5,5.850802296362034e-4
WBGene00000501,C48D1.3,cho-1,29.2171513855296,2.5526214469003015,0.9305074885688008,8.029095611081784e-5,0.0018611550632962328
WBGene00000518,C05H8.1,ckk-1,71.76703167433112,0.8190245468880374,0.5577620501396686,0.011057573327828257,0.05789862677829434
WBGene00000527,C36B1.1,cle-1,242.47459256378204,1.5816139897184271,0.43974063565848304,2.710302006551344e-5,8.549016066616548e-4
WBGene00000528,T27D12.2,clh-1,338.3090775367665,1.1372590936933176,0.49134303101813154,9.702015999133653e-4,0.011286169606508118
WBGene00000535,K08B4.6,cpi-1,287.7665769700432,0.9321556114629286,0.5615410304393846,0.006022762795867206,0.03912488765318872
WBGene00000544,Y47H10A.1,clp-3,9.295158017898274,2.0382820217533006,2.500838434149338,0.0047843787463077055,0.03359319027180983
WBGene00000546,Y77E11A.10,clp-6,23.815758980119675,2.1125997802683694,1.5604334534855016,0.0024612738793370974,0.021055942415812618
WBGene00000592,F08H9.1,coh-3,219.24544016613368,1.6425090789261008,0.32186021523377195,6.675493891611133e-8,5.7278121694984815e-6
WBGene00000594,T28C6.6,col-3,1169.076981978177,0.7408136040248718,0.4800335091040198,0.010061128904987265,0.05450250776602458
WBGene00000599,B0222.8,col-10,5977.3233741079175,0.7363455444612474,0.4715966427920856,0.009648658594229921,0.05310630532104785
WBGene00000602,F15H10.2,col-13,961.9151648487453,0.8267234624549491,0.7373149177293923,0.024335773651282977,0.09584704294624156
WBGene00000615,F54C9.4,col-38,1113.7022171557728,6.135590249960673,1.835493112679669,6.9022659065432486e-6,2.900762770927724e-4
WBGene00000626,K09H9.3,col-49,403.7570113923905,5.697160794454358,0.7463744256835017,2.8373774718940117e-15,1.2193921276332448e-12
WBGene00000639,ZK265.2,col-63,409.69460543285476,10.93985480535602,2.0438823842389886,3.63283146231656e-11,7.589458772361336e-9
WBGene00000640,F52F12.2,col-64,6.775975200338661,2.276048941014963,2.083832976405673,0.0032390491815123598,0.025570040499178895
WBGene00000644,C50D2.4,col-68,17.946930545673634,1.414812299429913,1.2216642304107097,0.008061254265553198,0.04727541913667589
WBGene00000647,Y49F6B.10,col-71,1518.8584211672337,5.898508286976653,0.5641408353492168,2.1049695668255105e-26,5.057189384298289e-23
WBGene00000655,C09G5.3,col-79,249.4283115484945,2.6597233311689674,0.9863461898000226,8.033803570618595e-5,0.0018611550632962328
WBGene00000656,C09G5.5,col-80,97.29599904439056,1.7062961960159102,1.1623960013790207,0.0032473184069372165,0.0255792867956284
WBGene00000663,W05G11.3,col-88,10.629704604550941,1.0155264703829607,1.9491384575940967,0.02105354849021378,0.087270143180616
WBGene00000666,F09G8.6,col-91,823.5206363514807,1.4050373715398137,0.85784875509465,0.003734524872037678,0.028155426794154358
WBGene00000667,W05B2.6,col-92,1265.4745597400197,0.8978627064088603,0.7246757911389957,0.017016596769531777,0.0758954958022279
WBGene00000668,W05B2.5,col-93,1815.3138922792753,1.00172354602192,0.867169364573007,0.01669944134694844,0.0750615675136457
WBGene00000673,F14F7.1,col-98,972.4900983615859,2.4951999007786325,1.1861996213032406,3.8830962975090706e-4,0.00587970936224719
WBGene00000677,F56B3.1,col-103,999.9051399705048,3.641511332346141,0.7511781102283817,8.691670735750321e-9,9.788315129362569e-7
WBGene00000678,F58F6.1,col-104,1670.1012792387342,0.7606868530292518,0.6239490651429807,0.021986120822514246,0.08952822928150928
WBGene00000683,Y38C1BA.3,col-109,2078.207828095799,0.7171792569560037,0.5633286953265629,0.020715793388293584,0.08615642287716446
WBGene00000684,F19C7.7,col-110,415.2609732476003,4.437585146596125,0.7415004858608388,5.054723548554423e-11,9.981347938686576e-9
WBGene00000694,Y11D7A.11,col-120,47.0086337919217,2.7700572945597,2.1818090479968917,0.0016595881836910908,0.016326182913718318
WBGene00000703,M18.1,col-129,6.326642986105838,1.264462097245611,1.9723181990779177,0.015644047770787834,0.07213977882786521
WBGene00000711,C52D10.13,col-138,871.3583369557322,7.390681759953009,1.400205727934759,3.746448883104028e-9,4.821880415173622e-7
WBGene00000715,T15B7.4,col-142,97.46945229527368,1.8550571067953123,1.1088339760147534,0.0018673787862627765,0.01755920756945722
WBGene00000720,T06E4.4,col-147,625.8137331992672,1.3808154843640639,1.0950254005753364,0.007319169506030275,0.04449845146749322
WBGene00000722,B0024.1,col-149,1296.4307685764911,1.3088674345227607,1.1235480528332917,0.0094886404884385,0.052425738842790705
WBGene00000739,T07H6.3,col-166,7457.113117915392,0.8645216353015758,0.4769192384725782,0.004226942093816389,0.03064703317474748
WBGene00000748,C35B8.1,col-175,507.212175716005,9.316902922613766,1.4267099453648915,3.027482859000562e-13,9.285354343083638e-11
WBGene00000749,ZC373.7,col-176,610.9061507484181,4.963242625424147,1.4279549593219467,5.591119608029067e-6,2.4875305293129324e-4
WBGene00000754,W03G11.1,col-181,21.958783761920483,4.938119589284425,2.9679730752685614,2.1555995238108322e-4,0.003903639087403661
WBGene00000755,R09A8.4,,323.744296290851,0.7771075505963465,0.5280091510880975,0.011552849674172274,0.059582943847296364
WBGene00000768,R01H10.3,cor-1,280.44137849060064,1.5326797078742165,0.42482656032511884,2.632739650878337e-5,8.384194772891469e-4
WBGene00000770,C40H1.1,cpb-1,544.3045654591916,1.8915561586540843,0.36935075945821183,4.316776077065133e-8,3.963460328082413e-6
WBGene00000771,C30B5.3,cpb-2,65.11393196949197,2.780677700260979,1.3011283410679673,2.84279423830704e-4,0.004731972164572285
WBGene00000772,B0414.5,cpb-3,554.5034649458454,1.7511514433173483,0.3789735177523023,5.626448898167413e-7,3.6049681708433166e-5
WBGene00000777,F43G9.9,cpn-1,705.5199968899769,1.2019826832469476,0.23977019166209698,6.346953782763178e-8,5.544929622941285e-6
WBGene00000779,F28H1.2,cpn-3,1854.88962331562,1.2331691183830527,0.5009742883527746,6.536470198266856e-4,0.00842030544307567
WBGene00000799,K04H4.6,crn-6,362.4613564180706,0.7577661418161966,0.3678165557897318,0.002282609981061378,0.019982872291594407
WBGene00000822,F40E10.3,csq-1,2168.8070097162026,1.4800705688382558,0.3971479362793863,1.7799384969480712e-5,6.152952861752145e-4
WBGene00000863,ZK507.6,cya-1,277.77773927132364,1.1399722759808202,0.3857423620824301,1.5230777126945286e-4,0.0029789912114642648
WBGene00000865,ZC168.4,cyb-1,605.7836037912381,0.7206093452684922,0.3230765343970524,0.0014320789297793109,0.014755838293615988
WBGene00000878,ZK520.5,cyn-2,98.35915530916117,1.3454751803506797,0.9373992789322997,0.0058568638504469086,0.03844567049371229
WBGene00000882,F42G9.2,cyn-6,1264.5068975930112,0.7602942053060742,0.5931196640713283,0.018982956057264955,0.08165363492475826
WBGene00000885,T27D1.1,cyn-9,168.46153407245046,1.0688329999614388,0.47872947699356405,0.0012172384335576096,0.013202778043440888
WBGene00000934,T23G5.5,dat-1,21.55765936312454,1.4482951945858695,1.3654896964635763,0.008774759397039368,0.049681129893292424
WBGene00000935,F56D1.7,daz-1,786.2773460608422,0.9259951316479579,0.39971100725161457,9.533966619319418e-4,0.011146158054946424
WBGene00000942,ZC477.9,deb-1,1427.3394050537815,1.387572234799646,0.3987579161057561,3.7572269793082107e-5,0.001087164547640837
WBGene00000951,K03B8.9,deg-3,46.02947667568656,1.3889184175576823,0.6900375974309171,0.0017813227262343902,0.017027697015032317
WBGene00000958,C09E10.2,dgk-1,127.30250245280867,1.1926295313096005,0.625726266900967,0.002683776250995455,0.02243968956565198
WBGene00000964,C47E12.8,dhp-2,140.6319476517204,1.4744634315645018,0.5317810087744219,2.804133638249757e-4,0.004689279164196084
WBGene00000998,K07E12.1,dig-1,1864.471264398706,0.8956810137130987,0.3401542035399578,3.497283898420587e-4,0.00546190112629824
WBGene00001000,C18A11.7,dim-1,3186.002637940465,1.2015126776833784,0.43246598221927174,2.703998121497173e-4,0.004591063948337073
WBGene00001040,T23B12.7,dnj-22,353.79832611634254,0.8803884859645695,0.4240418783216144,0.0019747770566508538,0.01824769953309106
WBGene00001046,Y54E10BL.4,dnj-28,171.94145346773132,1.4942922883402687,0.5587983247050482,0.00035571506058991855,0.0055073286308811465
WBGene00001052,F15A8.5,dop-1,18.616006165486787,3.329897795797342,2.0678298711886263,6.459746186153133e-4,0.008359545590487816
WBGene00001055,C27C12.7,dpf-2,101.52837903142802,1.859729409632473,0.7326513762547162,3.373375833463985e-4,0.005349528343166484
WBGene00001068,F16F9.2,dpy-6,336.43097137351884,4.163231877998904,1.061082193978447,8.782205920975098e-7,5.176967614113761e-5
WBGene00001078,F22B7.10,dpy-19,71.49717148668904,1.328492491385295,0.6968016189192243,0.002381690340835394,0.02054582062426224
WBGene00001113,F25H8.5,dur-1,1157.1661718943944,0.7340040402755516,0.4069968321769143,0.00497927059796236,0.03452437983147062
WBGene00001116,C33G3.1,dyc-1,103.46828740364533,1.8243291394836811,0.6309783171293801,1.5629675923323487e-4,0.003024184945432323
WBGene00001123,C43C3.3,dyf-7,9.727546342570811,1.4279649729710977,2.1813874571854086,0.011107657096788784,0.058034388202323414
WBGene00001131,F15D3.1,dys-1,1082.960330933462,1.1189908762362721,0.4112260843158202,3.0426176146623323e-4,0.004995368213594251
WBGene00001132,T11B7.4,alp-1,1452.143597142065,1.517130030069862,0.4210840379799633,2.6718217416910685e-5,8.483328283364923e-4
WBGene00001158,F01G10.3,ech-9,334.22259734414587,0.913997827489236,0.709943726408965,0.014985882178175876,0.07029661295099422
WBGene00001171,F16B3.1,egl-2,42.07755535204578,0.9008652743248793,0.7294131451425745,0.017075816668361308,0.07604810626760797
WBGene00001172,C51E3.7,egl-3,796.6594051973157,1.9160739099962596,0.4872874075806806,6.648172085191522e-6,2.810363654194598e-4
WBGene00001184,F58A3.2,egl-15,238.3905046384782,1.2161373627879926,0.578936116998067,0.001652060174592804,0.01630191674125164
WBGene00001187,C48A7.1,egl-19,332.59575243472386,0.8962089807672231,0.6158989045354473,0.01043521665160616,0.05577443382755017
WBGene00001214,F26A3.3,ego-1,515.5411242823295,1.7853910145496832,0.29535186871655905,3.095304665456477e-10,5.1285996267304724e-8
WBGene00001249,W09C2.1,elt-1,33.607275249830934,1.171529611422875,0.8168231816447884,0.00764586445815197,0.04573238679707693
WBGene00001263,K04H4.1,emb-9,5642.821317486452,1.214560506148013,0.4509288173525681,3.461440283848058e-4,0.00542945176187919
WBGene00001328,K08C7.3,epi-1,2499.485477715365,1.1593876026203456,0.476690295403114,7.050225523641074e-4,0.008899211989779866
WBGene00001368,F35H8.5,exc-7,134.44462663376683,0.8091930800869208,0.6088233054350559,0.015800233984638,0.07255825832703305
WBGene00001374,F12F3.1,exp-2,40.03770903440455,1.5743642397992492,0.8385641127981228,0.0018862246815891934,0.017632898044817265
WBGene00001386,F02A9.3,far-2,8475.544573790336,1.517011179631717,0.37920373746212865,7.057817132179227e-6,2.940417166484496e-4
WBGene00001390,W02A2.2,far-6,274.0950479179629,1.5544332528513538,0.4657504174341837,5.9403736549295486e-5,0.0014934855812621794
WBGene00001392,K02F3.3,far-8,353.3249616377922,2.831985166379622,0.5713967691825468,7.764910930036515e-9,8.883427861625107e-7
WBGene00001401,H12I13.4,fbf-1,261.9548381639428,0.773584401796642,0.4563779919751758,0.006397605101898045,0.040679963627640196
WBGene00001402,F21H12.5,fbf-2,321.6754998157909,1.3907067372235498,0.2574194369398758,1.4154350195175866e-8,1.4901603397222148e-6
WBGene00001410,Y54F10AM.2,feh-1,133.13049233417325,2.5806484014992823,0.7231797671318391,6.3148253926691025e-6,2.7091728581941997e-4
WBGene00001414,F43G9.6,fer-1,290.37858556278076,2.34738735506874,0.956077135792536,2.0852990175246404e-4,0.0038098333761239153
WBGene00001430,C50F2.6,fkb-5,1434.5149528998663,1.1190285290120876,0.6725828628588143,0.005031705056379009,0.03477011579515411
WBGene00001438,B0286.5,fkh-6,43.89791225295164,1.366552012031233,1.5414897790109336,0.012343166750754224,0.0622774759230389
WBGene00001443,B0523.5,fli-1,599.9394758029897,0.7484673952053186,0.27641686314552166,2.8641748241694604e-4,0.004750323256172628
WBGene00001444,F23B2.5,flp-1,225.1472795979842,1.8882672900342237,0.7074551453434101,2.4254305106216517e-4,0.004212359133808567
WBGene00001448,C03G5.7,flp-5,99.60170896535188,1.0393880943792155,0.741168766413776,0.009828826478293402,0.0537694624988992
WBGene00001449,F07D3.2,flp-6,120.97636794448245,1.2361654909717525,0.8601026681776793,0.006906140365798486,0.042914830444663446
WBGene00001451,F31F6.4,flp-8,100.27374929763016,1.427321806353279,0.7359725602913015,0.002000639233377325,0.018368926464416648
WBGene00001452,C36H8.3,flp-9,174.8652239497094,1.3408582175304258,0.6664649713143147,0.0018662116432556517,0.01755920756945722
WBGene00001454,K02G10.4,flp-11,145.52077827496205,2.2641880472828975,0.4366465937700196,1.1625426983254763e-8,1.2506009698777419e-6
WBGene00001457,Y37D8A.15,flp-14,150.597941356354,1.500805983661601,0.7089566379830217,0.0012713172970769083,0.013635445563514608
WBGene00001459,F15D4.8,flp-16,95.69758074258095,0.9783784251670028,0.7881463842814641,0.014895246456553192,0.07002679903165145
WBGene00001461,Y48D7A.2,flp-18,148.0979688734758,0.9400590967852311,0.6821548275870517,0.01183755970518118,0.06059603094821971
WBGene00001464,C26F1.10,flp-21,41.45473967385188,0.9793523975273772,0.6877433387938123,0.010149095209442887,0.054823433825421805
WBGene00001470,ZK783.4,baz-2,144.19229406669845,0.722885456963031,0.4251486326792746,0.006751743728095554,0.04227905553453406
WBGene00001475,F15B9.7,fmi-1,72.35321591086652,1.166501441442756,0.7361237895924926,0.005681507906419565,0.037637378892940276
WBGene00001478,Y39A1A.19,fmo-3,68.44960804408588,2.17404846961444,0.8838970078512138,2.5910237495925417e-4,0.004441094809795064
WBGene00001483,C03C11.2,fog-3,265.4133324783752,0.7633259361700683,0.6088093953466074,0.020198004777119506,0.08490937266321892
WBGene00001495,F31B12.3,F31B12.3,27.540824010332177,1.6509067658552266,0.8544401039297416,0.0015332478863111759,0.015412669652144769
WBGene00001499,C26E6.5,fsn-1,214.84551554203853,0.8714399669392978,0.32560396709743866,3.0126865769627823e-4,0.004957520206269236
WBGene00001512,ZC482.1,gab-1,14.144728796395722,1.0123705269144754,1.0148200900847966,0.02059603511217071,0.08588135555161722
WBGene00001514,C05D2.5,xnd-1,320.64599234474,1.1019521221026902,0.398110992275631,2.6118866118217626e-4,0.0044662331565137265
