wbps_gene_id,wormbase_gseq,wikigene_name,entrezgene_id,Rep1.CeMbio.intestine,Rep1.CeMbio.to.PA14.intestine,Rep1.OP50.intestine,Rep1.OP50.to.PA14.intestine,Rep2.CeMbio.intestine,Rep2.CeMbio.to.PA14.intestine,Rep2.OP50.intestine,Rep2.OP50.to.PA14.intestine,Rep3.CeMbio.intestine,Rep3.CeMbio.to.PA14.intestine,Rep3.OP50.intestine,Rep3.OP50.to.PA14.intestine
WBGene00000111,T08B1.3,alh-5,178680,7.97164195983447,8.3021666418236,9.90687355385159,8.55965746923198,7.37788864803622,8.24378321484211,9.8253740784089,7.68658913663594,7.022765735248,8.64061662421755,10.1549284877719,8.69652536057084
WBGene00000114,F13D12.4,alh-8,174800,13.3144556023439,12.6227081189932,14.1020523842273,13.0095225342469,13.1032399752314,12.4364840284034,13.9414560892389,12.6499204832163,13.3015014414329,12.8497423332435,14.1471674568078,12.9086470704191
WBGene00000176,K02G10.7,aqp-8,180744,8.07470966996599,8.18448398500729,7.06265953362243,8.58898405971265,7.48462240210115,8.44622684139827,6.75222210333178,7.52728167896741,8.4933621347629,7.33689108229541,6.33964657209159,8.61119852699374
WBGene00000251,C09G5.6,bli-1,174653,11.2773061028712,4.6294336194232,3.87624943031087,6.37607533381464,10.9918900424041,4.09070752547313,2.84674429913572,4.74543806680302,12.9260249704933,4.44270419953977,3.13081045501592,4.48346032116151
WBGene00000252,F59E12.12,bli-2,191611,10.5875802036269,8.19429802781171,4.89308140360494,6.78398946205749,9.88333782411057,5.9313196050957,7.06449575898656,6.88681655557723,12.1514665277056,7.3253480790727,5.94354914461778,6.36260652679244
WBGene00000298,F32G8.6,cat-4,179472,11.4406597463733,10.3785378958754,7.9000479684028,12.7707805596472,9.61530908827844,11.033639273847,7.63409640884359,11.6367646659292,9.72499941803456,10.8701516346937,6.94265597149779,12.1153931457416
WBGene00000373,F08F3.7,cyp-14A5,178926,6.48118428234006,7.65971632516508,6.46532456089722,9.26868816083209,6.0704913826644,5.49154376567197,6.26281723875754,10.6887124359278,7.40953114406365,6.58424179641953,5.27169012042644,8.69838206386876
WBGene00000412,F35E8.11,cdr-1,180064,7.39287626388546,10.9369579937908,7.22555891708513,11.0217981877217,6.97664099588583,12.1848450518503,7.11471016179155,10.5772640111056,5.61292349990845,11.5218833710054,7.10470961104,10.030474422856
WBGene00000480,Y38C9A.2,cgp-1,178540,9.97809340840086,10.6140285087712,10.8316082875803,11.8969133538158,9.71644128507306,10.6439264199096,10.9046274804935,13.4190131435456,9.85924256778962,10.5517480376092,9.91629732437428,11.8105660466473
WBGene00000501,C48D1.3,cho-1,178274,4.92431559423528,4.36712282372698,4.24669235897844,4.65781353344247,4.85164094406625,4.1668358949512,4.35345589680254,4.8832635065978,5.31266561716271,4.15392935826767,4.24091065149651,4.86243018592151
