WBgeneID,wormbase_gseq,wikigene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
WBGene00000111,T08B1.3,alh-5,527.1471190564762,-2.0068993831508215,0.40341375734792295,-3.7353693464925657,1.8743987743439282e-4,0.009239606265979266
WBGene00000114,F13D12.4,alh-8,10427.518113970038,-1.3802942533484894,0.17367737902678224,-5.068560213663416,4.008361819170089e-7,3.818235468017562e-5
WBGene00000176,K02G10.7,aqp-8,265.8549891669379,2.4288833810153094,0.5613277561594103,3.4362871955819156,5.897454507068295e-4,0.024744736202574058
WBGene00000251,C09G5.6,bli-1,1859.1920178804796,7.740104065855325,1.63361730816488,4.431946227350198,9.33863101365306e-6,6.786392785076333e-4
WBGene00000298,F32G8.6,cat-4,2445.26695861521,5.679335100362886,0.5436974498905952,9.52613462028393,1.6324873035383815e-21,6.575658858652601e-19
WBGene00000373,F08F3.7,cyp-14A5,436.3769722699946,4.932335871641928,0.8129103214675238,5.452429074390835,4.9686391737134454e-8,5.38829808238555e-6
WBGene00000412,F35E8.11,cdr-1,1618.8189845070824,4.220430626196486,0.5125706342241138,7.258376461281596,3.9176395662266395e-13,8.004475739806256e-11
WBGene00000480,Y38C9A.2,cgp-1,2853.234044567437,2.2984822975884773,0.44553903066222356,4.036643646944504,5.4221331799562816e-5,0.0033380451341058367
WBGene00000550,F55H2.6,clu-1,5151.711495004617,-1.529116817777544,0.2241620704754825,-4.590949823021476,4.412334138765199e-6,3.5144116773057495e-4
WBGene00000556,R09B5.3,cnc-2,10.47642200044004,6.228882120130952,1.7575570308687427,3.2595711089381965,0.001115808056925063,0.040647705391549195
WBGene00000558,R09B5.9,cnc-4,91.67639154606198,2.6728571887911947,0.6229930816035291,3.4877709768436795,4.870650907078403e-4,0.021258958665012793
WBGene00000673,F14F7.1,col-98,972.4900983615859,4.460393054629479,0.9985948766301803,3.965965725754641,7.309936702356e-5,0.004189247464626621
WBGene00000677,F56B3.1,col-103,999.9051399705048,4.730893751419759,0.689092734464594,6.139803164093795,8.262379665217266e-10,1.16483028520233e-7
WBGene00000749,ZC373.7,col-176,610.9061507484181,5.623884103007158,1.2964286166031311,3.952307159365725,7.740129894531826e-5,0.004375613833048857
WBGene00000772,B0414.5,cpb-3,554.5034649458454,1.7822224492419945,0.38323809860856073,3.3457593435971407,8.205758153362595e-4,0.0319571211177088
WBGene00000777,F43G9.9,cpn-1,705.5199968899769,1.2971065933509867,0.23379123695763124,3.4094802000446327,6.508680233624336e-4,0.026830226296384763
WBGene00000781,C52E4.1,cpr-1,11775.311143357916,-3.034247231537394,0.43261771209407474,-5.85793683589707,4.68652819959308e-9,6.061529775950757e-7
WBGene00000783,T10H4.12,cpr-3,2051.7985199301484,2.5265197487052533,0.43205614311754104,4.690408367030064,2.7266031744438204e-6,2.2219451764918485e-4
WBGene00000785,W07B8.5,cpr-5,21063.488694271462,-1.9393760248261656,0.3670463617831238,-3.921510127041248,8.799574947330292e-5,0.004808387891762111
WBGene00000835,ZK652.11,cuc-1,1261.4738009977755,-1.467433467169086,0.3012222335372432,-3.2116934258422605,0.0013195510752767575,0.046507577648129315
WBGene00000929,K07E3.3,dao-3,797.6452897983265,-2.292380592799777,0.3028108117825302,-5.9191433167419785,3.236228712692528e-9,4.386956960724929e-7
WBGene00001068,F16F9.2,dpy-6,336.43097137351884,5.398155025770577,0.9575413557146759,5.115345667879548,3.1316691491355327e-7,3.0448463216905338e-5
WBGene00001155,T05G5.6,ech-6,7959.2102596741,-3.4064996252234785,0.18993036443303066,-15.30297503455962,7.304008592142604e-53,1.4710273304575204e-49
WBGene00001188,W08D2.1,egl-20,20.80403117725935,-6.945008491502255,1.9515158166379973,-3.3025653374439408,9.580476571579095e-4,0.03592169114524523
WBGene00001239,F56H11.4,elo-1,7855.054436906181,-1.7629031681008376,0.2763284258251377,-4.570297696770473,4.870318732376998e-6,3.7934670435939733e-4
WBGene00001387,F15B9.1,far-3,93.97861019521599,5.59436014289887,1.019457691243819,4.997127577392003,5.819057332734434e-7,5.36190001809739e-5
WBGene00001393,Y67H2A.8,fat-1,5492.085130956518,-1.2741351969289185,0.2407955633653102,-3.2149063965704405,0.0013048706389184397,0.04622127202882453
WBGene00001397,W06D12.3,fat-5,891.4827342095597,-7.489123007766917,0.718604949550657,-9.72596001758297,2.3369048098921774e-22,1.0627640003180618e-19
WBGene00001398,VZK822L.1,fat-6,5717.398736996003,-1.539398649953682,0.27056652267928266,-3.8415641360987527,1.2225278249135456e-4,0.0064793974720417915
WBGene00001404,K07A3.1,fbp-1,2543.1017038093223,-1.315306173239348,0.22865114040028234,-3.565721001050128,3.628572362303911e-4,0.01639602986017966
WBGene00001527,F37B12.2,gcs-1,4163.849420559661,1.9427272996094458,0.2763693832201514,5.220286280626795,1.7864675959630415e-7,1.798972869134783e-5
WBGene00001564,C05E4.9,icl-1,22436.138297985628,-1.6528668022196797,0.3563291020197525,-3.235398949131504,0.001214728740967143,0.043798582583516064
WBGene00001566,C28C12.9,acdh-13,845.5156495970638,-1.1750026690312638,0.20407014505371626,-3.3076992661204145,9.406576411529237e-4,0.035458265842176255
WBGene00001577,T12A7.1,gem-4,276.6768293049791,3.1186835397809007,0.7004071879866297,3.7388016352437687,1.8489954838225042e-4,0.009178569834834388
WBGene00001604,Y105C5B.28,gln-3,7538.113373251986,-1.7117738312644852,0.37615389382671965,-3.2214842147100176,0.0012752848724585939,0.04551636995423103
WBGene00001684,K10B3.8,gpd-2,5171.533526759763,-1.2256160843979937,0.15445769964876066,-4.697830448388501,2.629395612780417e-6,2.1551871714522278e-4
WBGene00001749,R107.7,gst-1,6053.106071386523,1.61225459081145,0.32636198533562943,3.4080396638953268,6.543138301842228e-4,0.02689363375491887
WBGene00001753,R03D7.6,gst-5,5896.777117070809,1.7599905768167172,0.283189467599281,4.449284740347865,8.615673150343716e-6,6.293459071168171e-4
WBGene00001755,F11G11.2,gst-7,8731.611245671478,2.680959240726674,0.37220952569434645,5.85949335030627,4.642814762248941e-9,6.060592825757924e-7
