"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"WBGene00077683",27.8889155190295,0.0103546423946538,0.136459332772914,0.555364303927264,0.851704388924323
"WBGene00015153",110.241369716555,0.0395644891141017,0.143883760977533,0.4592518012997,0.797949226787295
"WBGene00002061",1941.61615592829,-0.32792361253495,0.165812862548022,0.0100696137792216,0.117750691043981
"WBGene00001177",3972.2045321821,0.136336244874641,0.183699759969673,0.0404848442164522,0.251846767442568
"WBGene00015152",36.8321130752092,-0.0273244643250898,0.139576611258992,0.207526308326643,0.566225749958691
"WBGene00015151",0.0628333665643988,NA,NA,0.775002575448749,NA
"WBGene00021413",0.0274425158373256,NA,NA,0.923434632898253,NA
"WBGene00021412",148.360473277756,0.00706679087730652,0.134408686671018,0.327256373075718,0.693765196757274
"WBGene00021414",0,NA,NA,NA,NA
"WBGene00018976",247.999713178634,-0.00709702279809595,0.134533769396446,0.791642186543544,0.945749390003441
"WBGene00004496",17924.7209113554,0.12767347877853,0.0960156452127407,0.464733941126643,0.801392583615965
"WBGene00018975",266.538425667084,-0.099953682864788,0.140967553478218,0.157879642930368,0.494811924538913
"WBGene00021411",1166.53002841091,-0.0372243470226736,0.080617585358,0.346983474562464,0.709326958217556
"WBGene00000480",4010.75301221125,1.47971414257934,0.377241532760706,1.55568841148892e-10,1.66212342697495e-07
"WBGene00020999",1822.30841126601,0.0937173242639297,0.117037915322936,0.709766959397313,0.919890552161517
"WBGene00021000",83.138000183854,0.0151068513208632,0.116289839314991,0.307031347353698,0.676983143622763
"WBGene00021004",3860.425307136,-0.082229890134175,0.0663979331500132,0.000781140269082332,0.0250374984747615
"WBGene00021001",7.50096591350761,-0.0121024126309331,0.137504564352495,0.238706611834964,NA
"WBGene00044512",19.1844507908058,-0.00249656212109896,0.136900748494488,0.543482079066878,NA
"WBGene00021003",5.71403992218836,-0.0110290376619863,0.137527199262015,0.385847495028958,NA
"WBGene00005303",0.638388855279821,-0.00168696164336241,0.137034781794121,0.336720210152496,NA
"WBGene00021002",1823.88554756581,-0.0624397382425179,0.157888531290697,4.21493163488848e-07,8.54906830549401e-05
"WBGene00006648",691.195458330744,0.103639112198312,0.109842741818341,0.190530123636977,0.541826908989164
"WBGene00022435",59.466242044018,0.00386878344797047,0.132762968937284,0.958420356284409,0.9895886684732
"WBGene00022434",530.98746609083,-0.203168871592853,0.119648349016034,0.0289693137507249,0.213228998083178
"WBGene00000838",2768.48245555821,-0.0205966153909898,0.086043775885716,0.649547661425466,0.898827306231132
"WBGene00044689",952.17083657328,-0.211590947547409,0.153385765459421,0.507686149583722,0.827367835127007
"WBGene00077643",297.906650622992,-0.00245022867074352,0.116028350613779,0.59603928774733,0.873350823795259
"WBGene00017080",1449.10210589157,0.199606895097274,0.34961470941276,0.00790975126771355,0.101512433436792
