"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"WBGene00077683",27.8889155190295,-0.0662966685320265,0.306979791230637,0.980287486936503,0.992267475408689
"WBGene00015153",110.241369716555,0.0658008382856291,0.298582533578473,0.0671475171397409,0.243958444985907
"WBGene00002061",1941.61615592829,0.344253770030192,0.149760282568467,0.0188862565702276,0.103163998362496
"WBGene00001177",3972.2045321821,-0.178240810156775,0.203401289646015,0.11595884267368,0.34339254814851
"WBGene00015152",36.8321130752092,0.0919090853207013,0.311532246784222,0.94952405376138,0.97890454487636
"WBGene00015151",0.0628333665643988,NA,NA,0.940182339243827,NA
"WBGene00021413",0.0274425158373256,NA,NA,0.645217836518085,NA
"WBGene00021412",148.360473277756,-0.0291530505845112,0.281916483417439,0.00831185125292681,0.0572970561291099
"WBGene00021414",0,NA,NA,NA,NA
"WBGene00018976",247.999713178634,-0.0655345851161306,0.289452191396356,0.397183029886974,0.678618242056182
"WBGene00004496",17924.7209113554,-0.0703740655286775,0.0982955516908148,0.11734858991492,0.34607860756296
"WBGene00018975",266.538425667084,0.337126353303702,0.190166724938687,0.14316325162035,0.389934146467062
"WBGene00021411",1166.53002841091,0.289470727543771,0.0958148886267847,0.000866001646441894,0.0099703540341661
"WBGene00000480",4010.75301221125,1.41477698799105,0.374173307466787,1.30811474444549e-06,4.68274657238358e-05
"WBGene00020999",1822.30841126601,-0.152090480710186,0.136685152251437,0.0848145256298968,0.282281079572108
"WBGene00021000",83.138000183854,-0.0456259184296911,0.178550370361283,0.132184506519575,0.371021563304856
"WBGene00021004",3860.425307136,0.0685904216575407,0.069832862014828,0.172871458028202,0.437688824055081
"WBGene00021001",7.50096591350761,0.0235748673038141,0.307550940794527,0.97073633922975,0.988782130546219
"WBGene00044512",19.1844507908058,-0.00120899667455314,0.308101251315512,0.550995708923222,0.786122620025504
"WBGene00021003",5.71403992218836,0.0665436796190409,0.319209383191296,0.243028541702177,0.525781917416951
"WBGene00005303",0.638388855279821,-0.00772680146595651,0.309899959747644,0.980265553167238,NA
"WBGene00021002",1823.88554756581,-0.114849045410827,0.325943647641394,0.00314045486841942,0.0273422068945589
"WBGene00006648",691.195458330744,0.0411442288307874,0.1195513828025,0.981477508658062,0.99281430959993
"WBGene00022435",59.466242044018,0.0569136091415842,0.272942948787477,0.847424217424966,0.935015481243101
"WBGene00022434",530.98746609083,0.102167820940498,0.111966074210422,0.243006438288184,0.525781917416951
"WBGene00000838",2768.48245555821,0.272101399889221,0.107266541609876,0.0391040758388074,0.172057542523015
"WBGene00044689",952.17083657328,0.288373043308205,0.145019540992993,0.0606721652094339,0.228288105370036
"WBGene00077643",297.906650622992,-0.0264967020016843,0.178652678804449,0.526938944581357,0.771768824047406
"WBGene00017080",1449.10210589157,0.0217146424461574,0.225810997147379,0.82175376594528,0.925126579331214
"WBGene00017082",259.321915951854,-0.768328894488862,0.415607915148642,1.36082614957627e-05,0.000343960540565312
"WBGene00005299",4.17296375323996,0.0425845764371945,0.311453199912671,0.104194281879766,NA
"WBGene00005301",0.454066202681251,NA,NA,0.370866127269096,NA
"WBGene00005298",0.390540596505611,-0.00897912081858553,0.30982753783979,0.873176461134102,NA
"WBGene00017083",8.02853080752278,0.00415486388360819,0.308089544893942,0.625774314613807,0.828625144411365
"WBGene00019814",0,NA,NA,NA,NA
"WBGene00019817",0,NA,NA,NA,NA
"WBGene00019818",273.07882698849,4.78300113979046,1.60378828430234,2.22134019014251e-10,2.05457140948584e-08
"WBGene00019815",0.238412118882717,NA,NA,0.413373867725525,NA
"WBGene00006419",0.0548850316746512,NA,NA,0.604950508435558,NA
"WBGene00006172",6.59234495341334,0.0160814128930826,0.295544708526022,0.32192382714674,0.611548003365392
"WBGene00019816",163.732930214279,-0.0502356449897614,0.173380918496404,0.54053368631456,0.779139903871151
"WBGene00021981",352.974179183999,-0.0534487266598977,0.201249686354092,0.427513677388055,0.701351754550651
"WBGene00044513",23.1767603357873,-0.0237630865589214,0.302382645979232,0.885855568791216,0.951291139338859
"WBGene00021983",228.10568372962,-0.104519087902785,0.300239590933856,0.938120134099772,0.973357802042076
"WBGene00018010",220.784466167628,0.616956510223368,0.449336439810776,0.0345743620629553,0.158064495169311
"WBGene00018011",554.459938581829,0.472306615060118,0.157353030539127,0.00030796220505509,0.00441383819591527
"WBGene00018013",392.16343467557,0.336017231741398,0.188522521783548,0.0356169526280151,0.161195680847109
"WBGene00003614",79.1486002350022,-0.239786415372653,0.260770788141148,0.390441153932823,0.673471613904968
"WBGene00000022",3056.89349405678,0.0206631786533675,0.244134814427497,0.428105147761424,0.701642093216737
"WBGene00020708",33.4299492415148,-0.141292684192404,0.342326362806286,0.200865317890597,0.475022252003375
"WBGene00020707",356.804157919645,0.0308346566766629,0.305683675273084,0.606544271474753,0.819857391184658
"WBGene00020706",1041.35926165071,0.637846222838476,0.179573784784067,7.75426469929517e-06,0.00021506557930856
"WBGene00020705",1205.59061158019,0.350147828628509,0.120544538743082,0.00400225522739092,0.0330153883790077
"WBGene00021450",0.507160725369905,NA,NA,0.853892312748401,NA
"WBGene00021449",1.32836325933027,NA,NA,0.672605145019057,NA
"WBGene00021451",5.71271258917819,0.00176034523789932,0.307107879483472,0.255409430163881,0.540414757183865
"WBGene00022643",235.693703355209,0.192661165996819,0.351417469459664,0.382313343581764,0.667454836991505
"WBGene00022642",12105.247987116,-0.241097666312688,0.353278788613661,0.0177489156609816,0.0987383660171631
"WBGene00022641",28.5493871635284,-0.189098608901379,0.366899550768795,0.00191050603685383,0.0185752172034542
"WBGene00022640",0.268058280404778,0.00865809139420714,0.30997628033594,0.584714377604692,NA
"WBGene00022639",1.07531492691977,NA,NA,0.958572647611629,NA
"WBGene00022638",0.265062511824615,NA,NA,0.406976030346685,NA
"WBGene00005284",0,NA,NA,NA,NA
"WBGene00022637",0.0274425158373256,NA,NA,0.645217836518085,NA
"WBGene00022636",0,NA,NA,NA,NA
"WBGene00022644",15060.2110385277,0.50210766966487,0.368326224577833,0.0128945324894827,0.078421785306443
"WBGene00022645",10877.3326457503,-0.127668114528666,0.225876805189424,0.121124252571011,0.353051622765683
"WBGene00021448",235.111157552294,-0.504378675312657,0.272806936788191,0.000213635491375299,0.0033016979103815
"WBGene00015259",33.154312918453,-0.0809113494815669,0.300295024337722,0.603632722619659,0.818446169331825
"WBGene00015258",44.2747177377044,-0.0355758477942263,0.276460105483856,0.419298715928525,0.696337283462688
"WBGene00015257",4.14295060329299,-0.0259384528094639,0.311138650801479,0.532249613835058,NA
"WBGene00015256",0,NA,NA,NA,NA
"WBGene00015255",0,NA,NA,NA,NA
